id|title|actor name|director name|year|genre
119|Taarzan: The Wonder Car (2004)|Devgan, Ajay|Burmawalla, Abbas Alibhai|2004|Comedy
120|Chithram (1988)|Venu, Nedumudi|Priyadarshan|1988|Comedy
121|Nagaya shinshiroku (1947)|Iida, Chouko|Ozu, Yasujiro|1947|Drama
122|Dead Presidents (1995)|Washington, Isaiah (I)|Hughes, Albert (I)|1995|Action
123|Nada (1947)|Montes, Conchita|Neville, Edgar|1947|
124|Dead Man Walking (1995)|Penn, Sean (I)|Robbins, Tim (I)|1995|Drama
125|Dead Man (1995)|Duckworth, George|Jarmusch, Jim|1995|Drama
126|Paap (2003)|Mehta, Aishwarya|Bhatt, Pooja (I)|2003|Romance
127|Amor (1940)|Fern?ndez, Severo (I)|Bay?n Herrera, Luis|1940|Comedy
128|Peaceful Warrior (2006)|Britt, B.J.|Salva, Victor|2006|Drama
129|Pamana, Ang (2006)|Barretto, Cholo|Candido, Romeo|2006|Drama
130|Chance of a Lifetime, The (1943)|Arnold, Jessie|Castle, William|1943|Drama
131|Santa Who? (2000) (TV)|Fitzpatrick, Richard (I)|Dear, William|2000|Comedy
132|Hit Parade of 1943 (1943)|Hickman, Cordell|Rogell, Albert S.|1943|
133|Age of Consent (1969)|Thring, Frank (I)|Powell, Michael (I)|1969|Comedy
134|Cliffhanger (1993)|Robillard, Kim|Harlin, Renny|1993|Adventure
135|Nicholas Nickleby (1947)|Hayes, Patricia (I)|Cavalcanti, Alberto|1947|Drama
136|New Orleans (1947)|Winters, Shelley|Lubin, Arthur|1947|Music
137|Bad Company (1986)|Nova, Susana|Santiso, Jos?|1986|Drama
138|12 mesyatsev (1956)|Garin, Erast|Ivanov-Vano, Ivan|1956|Animation
139|Doom Generation, The (1995)|Tewes, Lauren|Araki, Gregg|1995|Drama
140|Back to School (1986)|Kellerman, Sally|Metter, Alan|1986|Comedy
141|Babes in Toyland (1986) (TV)|Sosman, Pipo|Donner, Clive|1986|Family
142|Don Juan DeMarco (1995)|Wolfe, Christine|Leven, Jeremy|1995|Comedy
143|Elizabethtown (2005)|North, Gregory|Crowe, Cameron|2005|Comedy
144|December 7th (1943)|Rosenthal, Mrs. Henry L.|Toland, Gregg|1943|Short
145|Windy Riley Goes Hollywood (1931)|Merrill, Walter|Arbuckle, Roscoe 'Fatty'|1931|Short
146|Destination Tokyo (1943)|Bartell, Harry|Daves, Delmer|1943|History
147|Desert Victory (1943)|von Thoma, Wilhelm|Boulting, Roy|1943|War
148|Tarzan's Desert Mystery (1943)|Corrigan, Lloyd|Thiele, Wilhelm|1943|Action
149|Shani (1989)|Sharif, Babra|Rizvi, Saeed|1989|
150|At Close Range (1986)|Draper, Janie|Foley, James (I)|1986|Drama
151|Daredevils of the West (1943)|Parker, Eddie (I)|English, John (I)|1943|Western
152|Ching Se (1993)|Cheung, Maggie|Tsui, Hark|1993|Drama
153|Bone Collector, The (1999)|Day, Larry (I)|Noyce, Phillip|1999|Thriller
154|Wei?e Rausch - Neue Wunder des Schneeschuhs, Der (1931)|Riefenstahl, Leni|Fanck, Arnold|1931|
155|Dead Men Walk (1943)|Strange, Robert (I)|Newfield, Sam (I)|1943|Horror
156|Bad Golf My Way (1994) (V)|Banowetz, Brian|Friedberg, Rick|1994|Comedy
157|Waterloo Bridge (1931)|Clarke, Mae|Whale, James (I)|1931|Drama
158|Ast?rix chez les Bretons (1986)|Lumont, Roger|Van Lamsweerde, Pino|1986|Comedy
159|Faster (2003)|Capirossi, Loris|Neale, Mark (II)|2003|Documentary
160|Die Hard: With a Vengeance (1995)|Binyon, Dory|McTiernan, John (I)|1995|Crime
161|Nazis Strike, The (1943)|Seyss-Inquart, Arthur|Capra, Frank|1943|Short
162|Negro Colleges in War Time (1943)|||1943|Short
163|Out West (1947)|Blystone, Stanley|Bernds, Edward|1947|Short
164|Tonight Is Ours (1933)|Cording, Harry|Walker, Stuart (I)|1933|Drama
165|Blind Flight (2003)|Lahoud, Ziad|Furse, John (II)|2003|Drama
166|Cry 'Havoc' (1943)|Hunt, Marsha (I)|Thorpe, Richard (I)|1943|Drama
167|Belph?gor - Le fant?me du Louvre (2001)|Aussedat, Pierre|Salom?, Jean-Paul|2001|Horror
168|Out of the Past (1947)|Douglas, Kirk (I)|Tourneur, Jacques|1947|Thriller
169|Topaze (1933/I)|Barrymore, John (I)|d'Arrast, Harry d'Abbadie|1933|Comedy
170|Dancing Masters, The (1943)|Lloyd, George (I)|St. Clair, Malcolm|1943|Comedy
171|Torch Singer (1933)|Roberts, Florence (I)|Hall, Alexander (I)|1933|Drama
172|Dilwale Dulhania Le Jayenge (1995)|Sablok, Arjun|Chopra, Aditya|1995|Comedy
173|Desperado (1995)|Dalton, Mark (I)|Rodriguez, Robert (I)|1995|Crime
174|Band of the Hand (1986)|Valderrama, Luis|Glaser, Paul Michael|1986|Action
175|End of the Century (2003)|County, Wayne|Gramaglia, Michael|2003|Music
176|Austin Powers: The Spy Who Shagged Me (1999)|Jay, Tony|Roach, Jay|1999|Comedy
177|Chai gong (1993)|Chan, Wai-Man|Ching, Siu-Tung|1993|Comedy
178|Gabrielle (2005)|Hancisse, Thierry|Ch?reau, Patrice|2005|Drama
179|Devil in a Blue Dress (1995)|Lacey, Deborah|Franklin, Carl (I)|1995|Crime
180|Paradine Case, The (1947)|Coburn, Charles|Hitchcock, Alfred (I)|1947|Drama
181|Jedi Hunter, The (2002)|Garwood, Reed|Hudgens, John E.|2002|Short
182|Vanishing Legion, The (1931)|Karloff, Boris|Eason, B. Reeves|1931|Western
183|Crash Dive (1943)|Archer, John (I)|Mayo, Archie|1943|Drama
184|Crazy House (1943)|Rice, Jack|Cline, Edward F.|1943|Comedy
185|Crime Doctor (1943)|Costello, Don (I)|Gordon, Michael (I)|1943|Drama
186|Chao ji ji hua (1993)|Law, Bruce (I)|Tong, Stanley|1993|Comedy
187|To the Last Man (1933)|Besserer, Eugenie|Hathaway, Henry|1933|Western
188|Angela's Ashes (1999)|Owens, Ciaran|Parker, Alan (I)|1999|Drama
189|Today We Live (1933)|Malyon, Eily|Rosson, Richard (I)|1933|Drama
190|Deadly Blessing (1981)|Weenick, Annabelle (I)|Craven, Wes|1981|Horror
191|Humraaz (2002)|Anand, Raj|Burmawalla, Abbas Alibhai|2002|Drama
192|Which Way Is Up? (1977)|Northup, Harry|Schultz, Michael (I)|1977|Comedy
193|Dead & Buried (1981)|Corbin, Barry|Sherman, Gary (I)|1981|Horror
194|Cock and Bull Story, A (2005)|Wilson, Stuart (IV)|Winterbottom, Michael|2005|Comedy
195|Strange Behavior (1981)|Harner, Joe|Laughlin, Michael (I)|1981|Horror
196|Hitler - Beast of Berlin (1939)|Wessel, Dick|Newfield, Sam (I)|1939|Drama
197|?ppelkriget (1971)|Sj?blom, Carl-Uno|Danielsson, Tage|1971|Comedy
198|Welcome to L.A. (1976)|Kellerman, Sally|Rudolph, Alan|1976|Drama
199|White Sister, The (1933)|Gable, Clark|Fleming, Victor|1933|Drama
200|Something Big (1971)|Carey Jr., Harry|McLaglen, Andrew V.|1971|Western
201|Cyborg 2 (1993)|Schroeder, David (I)|Schroeder, Michael (I)|1993|Sci-Fi
202|Next Karate Kid, The (1994)|O'Brien, Tom (IX)|Cain, Christopher (I)|1994|Comedy
203|Daibyonin (1993)|Mitani, Noboru|Itami, Juzo|1993|Drama
204|World Gone Mad, The (1933)|Hall, Ben (I)|Cabanne, Christy|1933|Horror
205|Gudgudee (1997)|Roy, Dolon|Chatterjee, Basu|1997|Romance
206|Wolf Dog, The (1933)|Northrup, Harry|Clark, Colbert|1933|Adventure
207|Zorro's Black Whip (1944)|Roan, Vinegar|Grissell, Wallace|1944|Western
208|Woman Accused, The (1933)|Stuart, Donald|Sloane, Paul (II)|1933|Drama
209|Zachariah (1971)|Gonzalez Gonzalez, Pedro|Englund, George|1971|Western
210|Top Dog (1995)|Sistrunk, John|Norris, Aaron|1995|Comedy
211|Czlowiek z zelaza (1981)|Radziwilowicz, Jerzy|Wajda, Andrzej|1981|Drama
212|Tommy Boy (1995)|Segal, Taylor|Segal, Peter|1995|Comedy
213|Lightning Bolt: The Power of Salad (2002) (V)|Gibson, Brian (VII)|Noe, Nick|2002|
214|C?leste (1981)|Euba, Wolf|Adlon, Percy|1981|Drama
215|Tokyo Fist (1995)|Taguchi, Tomorowo|Tsukamoto, Shinya|1995|Horror
216|Pleasure of Your Company, The (2006)|Mizrahi, Regan|Black, Michael Ian|2006|Comedy
217|Contamination .7 (1990)|Julian, Jim|Laurenti, Fabrizio|1990|Horror
218|Ying wang (1971)|Chang, Pei-Shan|Chang, Cheh|1971|
219|Cutter's Way (1981)|Pelt, William|Passer, Ivan|1981|Drama
220|You've Got to Walk It Like You Talk It or You'll Lose That Beat (1971)|Taylor, Anne (I)|Locke, Peter (I)|1971|Comedy
221|Nell (1994)|Bomba, Heather M.|Apted, Michael|1994|Drama
222|Yoke's on Me, The (1944)|Howard, Curly|White, Jules|1944|Short
223|Cop and ½ (1993)|Weenick, Annabelle (I)|Winkler, Henry|1993|Comedy
224|Guang dong xiao lao hu (1971)|Hon, Kwok Choi|Mu, Chu|1971|Comedy
225|Reign of Fire (2002)|Meacock, Alex|Bowman, Rob (I)|2002|Fantasy
226|Ek Rishtaa: The Bond of Love (2001)|Shetty, Sunil (I)|Darshan, Suneel|2001|Drama
227|Ready to Run (2000) (TV)|Gittins, Paul|Dunham, Duwayne|2000|Family
228|Natural Born Killers (1994)|Rooney, Jack|Stone, Oliver (I)|1994|Romance
229|Totsuzen! Neko no kuni banipal witt (1998)|McGlynn, Mary Elizabeth|Nakamura, Takashi|1998|Animation
230|Dracula: Dead and Loving It (1995)|Revill, Clive|Brooks, Mel (I)|1995|Horror
231|Nattevagten (1994)|Adolfsson, Leif|Bornedal, Ole|1994|Horror
232|Dr. Jekyll and Ms. Hyde (1995)|Cobb, Julie|Price, David (I)|1995|Horror
233|Tod f?r f?nf Stimmen (1995) (TV)|Miccio, Gennaro|Herzog, Werner|1995|Music
234|Shuang tong (2002)|Leung Ka Fai, Tony|Chen, Kuo-fu|2002|Horror
235|Creature Wasn't Nice, The (1983)|Willock, Margaret|Kimmel, Bruce|1983|Horror
236|Down from the Mountain (2000)|Nelson, Tim Blake|Doob, Nick (I)|2000|Music
237|To Wong Foo Thanks for Everything, Julie Newmar (1995)|Houser, Dean|Kidron, Beeban|1995|Comedy
238|I'm a Man (1918)|Pendleton, Martin (III)|Vidor, King|1918|Short
239|To Die For (1995)|Forrester, Tom (I)|Van Sant, Gus|1995|Comedy
240|Hell's Kitchen (1939)|Kenny, Jack (II)|Dupont, Ewald Andr?|1939|Drama
241|When Ladies Meet (1933)|Brady, Alice|Leonard, Robert Z.|1933|Comedy
242|Wakusei daisenso (1977)|Ikebe, Ryo|Fukuda, Jun (I)|1977|Sci-Fi
243|Wing and a Prayer (1944)|Roe, Raymond|Hathaway, Henry|1944|Drama
244|Whispering Shadow, The (1933)|Parker, Eddie (I)|Clark, Colbert|1933|Horror
245|NeverEnding Story III, The (1994)|Irvine, Jenna|MacDonald, Peter (I)|1994|Family
246|White Cliffs of Dover, The (1944)|Taylor, Elizabeth (I)|Brown, Clarence (I)|1944|Romance
247|Neuf mois (1994)|Covillault, J?r?mie|Braoud?, Patrick|1994|Comedy
248|Wilson (1944)|Seaton, Scott (I)|King, Henry (I)|1944|Biography
249|Crush, The (1993)|Acheson, Mark|Shapiro, Alan (I)|1993|Drama
250|Aatank Hi Aatank (1995)|Pal, Amrit|Shankar, Dilip (II)|1995|Drama
251|Confessions of a Sorority Girl (1994) (TV)|Rae, Bette|Edel, Uli|1994|Comedy
252|Shoot to Kill (1988)|Alley, Kirstie|Spottiswoode, Roger|1988|Thriller
253|Chuen jik sat sau (2001)|Lin, Teddy|Wai, Ka-Fai|2001|Thriller
254|I Take This Woman (1940)|Dickson, Helen (I)|Borzage, Frank|1940|Drama
255|Coup de torchon (1981)|Beaune, Michel|Tavernier, Bertrand|1981|Drama
256|I Stole a Million (1939)|Chandler, Eddy|Tuttle, Frank (I)|1939|Mystery
257|Xiaohai bu ben 2 (2006)|Tan, Selena|Neo, Jack|2006|Comedy
258|Continental Divide (1981)|Dean, Ron (I)|Apted, Michael|1981|Comedy
259|Viktor und Viktoria (1933)|Thimig, Hermann|Sch?nzel, Reinhold|1933|Comedy
260|Do Chor (1972)|Dhumal|Padmanabh|1972|Drama
261|Bride Service (1975)||Chagnon, Napoleon|1975|Short
262|She's Having a Baby (1988)|Newton-John, Olivia|Hughes, John (I)|1988|Comedy
263|Go Figure (2005) (TV)|Gunadi, Tania|McDougall, Francine|2005|Comedy
264|Appointment in Tokyo (1945)||Hively, Jack|1945|War
265|No. 3 (1997)|Choi, Min-sik|Song, Neung-han|1997|Comedy
266|Cool Runnings (1993)|Parisien, Rob|Turteltaub, Jon|1993|Comedy
267|N? (1998)|Chr?tien, Jean (I)|Lepage, Robert|1998|Drama
268|English Babu Desi Mem (1996)|Singh, Sunny (IV)|Nischol, Praveen|1996|Comedy
269|In Name Only (1939)|Strange, Robert (I)|Cromwell, John|1939|Drama
270|Waltzes from Vienna (1934)|Smith, Cyril (I)|Hitchcock, Alfred (I)|1934|Comedy
271|Idiot's Delight (1939)|Demetrio, Anna|Brown, Clarence (I)|1939|Comedy
272|Ogniem i mieczem (1999)|Grochoczynski, Tomasz|Hoffman, Jerzy|1999|History
273|Ice Follies of 1939, The (1939)|Shipstad, Roy|Sch?nzel, Reinhold|1939|Drama
274|Conflict of Interest (1993)|de Broux, Lee|Davis, Gary (I)|1993|Drama
275|VeggieTales: Sumo of the Opera (2004) (V)|Hodge, Tim (I)|Nawrocki, Mike|2004|Comedy
276|Hound of the Baskervilles, The (1939)|Borland, Barlowe|Lanfield, Sidney|1939|Horror
277|Prince Live at the Aladdin Las Vegas (2003) (V)|Neto, Renato|Hamri, Sanaa|2003|Music
278|Trader Horn (1931)|Booth, Edwina|Van Dyke, W.S.|1931|Adventure
279|Demonlover (2002)|Reymond, Dominique|Assayas, Olivier|2002|Thriller
280|Baby Boy (2001)|Johnson, A.J. (I)|Singleton, John (I)|2001|Romance
281|Esquive, L' (2003)|Hamlili, Hajar|Kechiche, Abdel|2003|Drama
282|No Escape (1994)|Logan, Brian M.|Campbell, Martin (I)|1994|Drama
283|Voice of Conscience, The (1912/II)|Darnell, Jean||1912|Short
284|Dangerous Child (2001) (TV)|Barker, Jordan|Campbell, Graeme (I)|2001|Drama
285|Vampire Bat, The (1933)|Douglas, Melvyn|Strayer, Frank R.|1933|Horror
286|Cure for Insomnia, The (1987)|Groban, L.D.|Timmis IV, John Henry|1987|
287|Not Angels But Angels (1994)||Grodecki, Wiktor|1994|Documentary
288|Hunchback of Notre Dame, The (1939)|Drake, Charles (I)|Dieterle, William|1939|Drama
289|Nobody's Fool (1994)|Heitman, Bob|Benton, Robert (I)|1994|Drama
290|North (1994)|Ford, Faith|Reiner, Rob|1994|Comedy
291|Whisper (2007)|Hill, Dul?|Hendler, Stewart|2007|Drama
292|What Happened Today...? (2004) (V)|Lynn, Jennifer (II)|Usher, Nick|2004|Short
293|At Midnight (1913/III)|Rich, Vivian||1913|Short
294|Happiest Millionaire, The (1967)|Cooper, Gladys (I)|Tokar, Norman|1967|Comedy
295|Happening, The (1967)|Kuhl, James Randolph|Silverstein, Elliot|1967|Comedy
296|Seafarers, The (1953)|Hollenbeck, Don|Kubrick, Stanley|1953|Short
297|Hells Angels on Wheels (1967)|Wilmoth, Rod|Rush, Richard (I)|1967|Drama
298|D'Artanyan i tri mushketyora (1978) (TV)|Velkin, O.|Yungvald-Khilkevich, Georgi|1978|Adventure
299|Hatsukoi: Jigoku-hen (1968)|Mitsui, Koji|Hani, Susumu|1968|Drama
300|Uninvited, The (1944)|Thomas, Evan (I)|Allen, Lewis (I)|1944|Horror
301|School Daze (1988)|Johnson, A.J. (I)|Lee, Spike|1988|Comedy
302|Jaanam Samjha Karo (1999)|Matondkar, Urmila|Sultanpuri, Andaleeb|1999|
303|Hasta el viento tiene miedo (1968)|Lazareno, Norma|Taboada, Carlos Enrique|1968|Horror
304|Target (1995)|Mukherjee, Gyanesh|Ray, Sandip|1995|Drama
305|Everything Goes (2004)|Wood, Bernice|Kotatko, Andrew|2004|Short
306|Scrooged (1988)|Murray, John (II)|Donner, Richard|1988|Comedy
307|Gunfight in Abilene (1967)|Werle, Barbara|Hale, William (II)|1967|Western
308|Dhyasparva (2001)|Paranjape, Minal|Palekar, Amol|2001|
309|Gunn (1967)|Marshall, Marion|Edwards, Blake|1967|Mystery
310|Parlez-moi d'amour (2002)|Olive, Isabelle|Marceau, Sophie|2002|Drama
311|Year of the Yao, The (2004)|Francis, Steve (III)|Del Deo, Adam|2004|Documentary
312|Tank Girl (1995)|Ramsower, Stacy Linn|Talalay, Rachel|1995|Comedy
313|Kingdom, The (2007)|Titizian, Hrach|Berg, Peter (I)|2007|Thriller
314|Camouflage (2001/I)|Warburton, Patrick|Keach, James|2001|Comedy
315|Scandal Sheet (1952)|Brown, Helen (I)|Karlson, Phil|1952|Drama
316|Scaramouche (1952)|Hughes, Carol (I)|Sidney, George (II)|1952|Romance
317|Ex-Plumber (1931)|Blystone, Stanley|Arbuckle, Roscoe 'Fatty'|1931|Short
318|Hamraaz (1967)|Sarika|Chopra, B.R.|1967|Thriller
319|Tugboat Annie (1933)|Giblyn, Charles|LeRoy, Mervyn|1933|Comedy
320|Hang 'Em High (1968)|Fluellen, Joel|Post, Ted|1968|Western
321|Tuvo la culpa Ad?n (1944)|Espantale?n, Juan|Ordu?a, Juan de|1944|
322|Tunisian Victory (1944)|de Gaulle, Charles|Capra, Frank|1944|War
