id|title|starring|writer|editor
98||Jennifer O'Neill|Max Ehrlich|
99||Charles Dorety|Tom Buckingham|
100|Call Me|Stephen McHattie|Sollace Mitchell|
101|Computer-animated films|Dana Elaine Owens|Jon Vitti|
102|Baise-moi|Karine Bach|Virginie Despentes|
103||Laila||
104||Randhir Kapoor|Virendra Sinha|
105|Rhapsody|John Ericson (Actor)|Henry Handel Richardson|
106|She Married Her Boss|Lily Claudette Chauchoin|Gregory La Cava|
107|Carbon Copy|George Segal|Stanley Shapiro|
108|Shaolin Warrior|Chia-Liang Liu Chia Hui Liu||
109|Yoju Toshi|Stuart Miller|Hideyuki Kikuchi|
110|Day of the Roses|Stephen Curry||
111|The Bad Lands|Henry DeWitt Carey II|Harvey Gates|
112||Anna Kanakis||
113||Coleen Gray|Jo Eisinger|
114|||Peter Alton  Peter Spirer|
115|Adventureland|Ryan Rodney Reynolds|Greg Mottola|
116|Okka Magaadu|Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari|Chinthapalli Ramana|
117|Camp Nowhere|Wendy Makkena|Eliot Wald|
118|The Burning of the Red Lotus Temple||Zhengqiu Zheng,Shang K'ai-jan|
119|Pacific Heights|Melanie Richards Griffith|Daniel Pyne|
120||Irene Marie Dunn|Victor Heerman|
121||Gary Leonard Oldman|Suzette Couture|
122|City Hall|Danny Aiello|Bo Goldman|
123||Jerome Lester Horwitz|John Grey|
124|Plein soleil|Maurice Ronet|Paul G?gauff|
125|Heavy Traffic|Joseph Kaufmann Beverly Hope Atkinson Frank DeKova Terri Haven Mary Dean Lauria|Ralph Bakshi|
126||Billy Eugene Burrows|Mark Sevi|
127|Mackenna's Gold|Camilla Sparv|Carl Foreman|
128|Master of the Flying Guillotine|Kam Kang|Jimmy Wang Yu|
129|L'Homme qui vendit son u00E2me au diable|||
130|The Land Before Time VIII: The Big Freeze|Miriam Flynn|John Loy|
131||Swathi||
132|Operation Condor 2: The Armour of the Gods|u9673u6E2Fu751F (Chan Kong Sang)|Edward Tang|
133|Lloyd's of London|Tyrone Edmund Power, Jr.|Ernest Pascal|
134|Vertigo|James Stewart (actor)|Samuel Albert Tanenbaum|
135|Serial (film)|||
136|Daai chek liu|Cecilia Cheung|Yau Nai-Hoi|
137|Road Gang|Donald Woods (actor)|Abern Finkel|
138||Hema Malini|K.A Narayan|
139||Salman Khan|Bala|
140||William Davis Garwood Jr.||
141||Rie Yokoyama|Toru Shinohara|
142|A Midnight Clear|Kevin Dillon|William Wharton|
143|The Bros.|Dennis Scott (basketball)|Jonathan Figg|
144||William Frank Jones|Robert Thom|
145|Serial (film)|Hal Taliaferro|Ronald Davidson|
146|The Champ|Richard Bartlett Schroder|Walter Newman (screenwriter)|
147|Banlieue 13|David Belle|Bibi Naceri|
148||Justin Whalin|Paul Anthony|
149|Bad Boys|Will Smith|Michael Barrie|
150||Malini Fonseka||
151||Moses Gunn|Aaron Spelling|
152|Accumulator 1|Zden?k Sv?r?k|Zden?k Sv?r?k|
153|Serial (film)|Stanley Price|Ronald Davison|
154||Luke Goss|Matthew Leutwyler|
155|Paradise Road|Glenn Close|Betty Jeffrey|
156||Robert Peter Williams|Neil Simon|
157|Harry and Tonto|Chief Dan George|Josh Greenfeld|
158|Rikyu|Rentaro Mikuni|Hiroshi Teshigahara|
159|Brewster's Millions|John Franklin Candy|Herschel Weingrod|
160|Vivah|Seema Biswas|Sooraj R. Barjatya|
161||Eddie Deezen|Tim Conway|
162|||Nicholas Mosley|
163||Craig Sheffer|Joel Soisson|
164|Tuntematon sotilas|Kosti Klemel?|V?in? Linna|
165||Donovan Leitch, Jr.|Janet McClean|
166||Georges Corraface|Vicente Aranda Ezguerra|
167||Kati Outinen|Timo Puustinen|
168|Satya|Urmila Matondkar|Anurag Kashyap|
169|Ruggles of Red Gap|Charles Ruggles|Harlan Thompson|
170|Attack of the Puppet People|John Hoysradt|George Worthing Yates|
171||Beyonc? Knowles|Elizabeth Hunter|
172|Crossing Delancey|Sylvia Miles|Susan Sandler|
173||Peter Barton|Randy Feldman|
174|Trial and Error|Jeff Daniels (actor)|Sara Bernstein Gregory Bernstein|
175||Wojciech Pokora|Stanis?aw Bareja|
176|Renegades|||
177||Wendell Reid Corey|Ketti Frings|
178|Hope Floats|Sandra Annette Bullock|Steven Rogers|
179||Alan Badel|Sidney Carroll|
180|Fata Morgana|Marianne Benet Antonia Casas Alberto Dalbu00E9s Antonio Ferrandis|Gonzalo Su?rez|
181||Kamal Haasan||
182||Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon|Yaky Yosha|
183||Mariel Hadley Hemingway|Larry Jeff McMurtry|
184|Eklavya: The Royal Guard|Raima Dev Varma|Vidhu Vinod Chopra|
185||Ashok Kumar|Apurba Kishore Bir|
186|The Left Hand of God|Everett Eugene Grunz|Alfred Hayes|
187||Jatin Khanna||
188||Anna Raymond Massey|Bob Kellett|
189||Jean Seberg|Roger MacDougall|
190|Serial (film)|Bud Geary|Barney Sarecky|
191||Blanche Friderici|Lenore J. Coffee|
192||Shari Shattuck|Hugh Parks|
193||Carole Mathews|David Stern|
194||Billy Bob Thornton|Les Charles|
195|Rondo|Milena Dravi?|Zvonimir Berkovi?|
196|The Agony and the Ecstasy|Reginald Carey Harrison|Irving Stone|
197|Meeting Resistance||Molly Bingham Steve Connors|
198||Vittorio Gassman|Ivan Shane Maxwell Shane Ivan Tors|
199|I Was a Teenage Frankenstein|Whit Bissel|Herman Cohen|
200|Cycle Psycho|Joseph Turkel|John Lawrence|
201||Issur Danielovitch|Irving Stone (novel) Norman Corwin|
202||Jerome Lester Horwitz||
203|Valiant|Richard Michael Mayall|Jordan Katz|
204|Rio Bravo|Angeline Brown|Leigh Brackett|
205|War of the Worlds|Hannah Dakota Fanning|H. G. Wells|
206|Palmetto|Woodrow Tracy Harrelson|James Hadley Chase|
207|The Lonedale Operator|Verner Clarges|Mack Sennett|
208||William Davis Garwood Jr.|Daniel Carson Goodman|
209|Rockin' with Judy Jetson|Ruth Buzzi|Joseph Barbera|
210||Dyanne Maurer|Marven McGara|
211|Sorry, Haters|Sandra Oh|Jeff Stanzler|
212|Gilda Live|Gilda Susan Radner|Mike Nichols Anne Beatts|
213||Konidela Siva Sankara Vara Prasad||
214|Andrey Rublyov|Anatoli Solonitsyn|Andrei Arsenyevich Tarkovsky|
215|Bucking Broadway|Henry DeWitt Carey II|George Hively|
216|Transylvania 6-5000|John Byner|Rudy De Luca|
217||William Davis Garwood Jr.||
218||Mukul Dev||
219|The Ultimate Gift|Donna Cherry|Jim Stovall|
220||Gilbert Gottfried|Kevin Campbell|
221||Dale Hopkins|Thomas Matthiesen|
222|Alvin Purple Rides Again|Alan Finney (Actor)|Alan Finney (actor)|
223||Malcolm Smith (motorcyclist)||
224||Cecilia Cheung|Yau Nai-Hoi|
225||Diane Keen|Tudor Gates|
226|Mikau00EBl|Benjamin Christensen|Carl Theodor Dreyer|
227||Ricky Der|Robert Day (film director)|
228|Fortress|Rachel Ward|Gabrielle Lord|
229|Black Hole|Kristy Swanson|David Goodin|
230|Bad Dreams|Harris Yulin|P.J. Pettiette|
231||Donna Spence||
232|Zaza|Herbert Brough Falcon Marshall|Zoe Akins|
233||Andrei Arsenyevich Tarkovsky|Alexander Sokurov|
234|The Red Badge of Courage|Douglas Dick|John Marcellus Huston|
235|Serial (film)|Forrest Taylor|Joseph F. Poland|
236|The Good Night|Penu00E9lope Cruz Su00E1nchez|Jake Paltrow|
237|Nothing to Lose|Arisara Wongchalee Pierre Png|Danny Pang|
238||Tangi Miller|Mark Jones (screenwriter)|
239|Supergator|Brad Johnson|Brian Clyde|
240|One Man's Journey|Mary Jeanette Robinson|Katharine Havilland-Taylor|
241|Kaliyugaya|Punya Heendeniya Henry Jayasena Trelicia Gunawardena Wickrema Bogoda|A.J. Gunawardena|
242||Yamila Greco  Eduardo Poli  Andrea Alfonso  Rodrigo Bianco  Silvia Paz  Salvador Haidar|Mariano Peralta|
243|||Michael Sauter|
244||H?meyra|?a?an Irmak|
245|Vampire Circus|Sarah Ward|Judson Kinberg|
246|The Coastline|||
247||Guy Bridges Kibbee||
248||Mumtaz (actress)||
249||William Davis Garwood Jr.||
250||Wallace Fitzgerald Beery||
251|Gwendoline|Brent Huff|Just Jaeckin|
252||Hobart Bosworth Betty Harte|Robert Louis Stevenson|
253|A Home at the End of the World|Colin James Farrell|Michael Cunningham|
254||Ethel Agnes Zimmermann|Lamar Trotti (story) Phoebe Ephron Henry Ephron|
255||Othon Bastos  Mauru00EDcio do Valle||
256||Chaaru Haasan|Poornachandra Tejaswi|
257|The Mirror|||
258|Pat and Mike|Aldo DaRe|Garson Kanin|
259|Genie Award for Best Motion Picture|Patrick Goyette|Robert Lepage|
260|Party|Vijaya Khote|Govind Nihalani|
261|The Computer Wore Tennis Shoes|Kurt Vogel Russell|Joseph L. McEveety|
262|Rain Without Thunder|Jeff Daniels (actor)|Gary Bennet|
263|Mabel and Fatty's Married Life|Roscoe Arbuckle||
264|Sissi - Die junge Kaiserin|Gustav Knuth|Ernst Marischka|
265|Contract Killers|Wolf Muser|Justin B. Rhodes|
266||Eric Lidberg|Tony Huston|
267|Gangster No. 1|Paul Bettany|Johnny Ferguson|
268|George of the Jungle|Thomas Hayden Church|Dana Olsen|
269|Freedom Writers|Imelda Mary Philomena Bernadette Staunton|Erin Gruwell|
270||Julie Depardieu|Etienne Faure|
271|Akasa Veedhilo|Akkineni Nagarjuna Rao|Singeetam Srinivasa Rao|
272||The Snow Queen (1957 film)#Voices|Bob Fisher|
273||Ronald Francis Perlman|Mike Mignola|
274|An Everlasting Piece|Billy Connolly|Barry McEvoy|
275||Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy|Ratnam|
276|Mon beau-fru00E8re a tuu00E9 ma soeur||Jacques Rouffio|
277||Sacha Noam Baron Cohen 1987|Sacha Noam Baron Cohen 1987|
278|Guyana Tragedy: The Story of Jim Jones|Levardis Robert Martyn Burton, Jr.|Ernest Tidyman|
279||Elina Salo|Mika Waltari|
280|Abby|Terry Carter|G. Cornell Layne|
281|Quick Change|Anthony Marcus Shalhoub|Jay Cronley|
282||Mid-Missourri Ballers|Azur Allen|
283|Genie Award for Best Motion Picture|Gilles Maheu|Jean-Claude Lauzon|
284|All of Me|Stephen Glenn Martin|Edwin Davis (writer)|
285|Vertical Limit|Robin Tunney|Terry Hayes|
286|Never Die Alone|David James Arquette|James Gibson (writer)|
287||Bryce Dallas Howard|Tennessee Williams|
288||Stepan Shagaida|Alexander Dovzhenko|
289|The Bushido Blade|Richard Boone||
290||Rafe Joseph Spall|Stewart Harcourt|
291||u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C||
292|Metro|Sharman Joshi|Anurag Basu|
293|Cold Creek Manor|Stephen Dorff Jr.|Richard Jeffries|
294||James Stewart (actor)|Owen Crump|
295||Laura Morante|Christopher Thompson|
296|||Pao Lei|
297||Ingvar E. Sigur?sson|Arnaldur Indri?ason|
298|The Baxter|Michelle Williams (actor)|Michael Showalter|
299||Caroline Langrishe|David Rayfiel|
300|The Mothman Prophecies|Laura Linney|Lewis Klahr|
301|Korczak|Wojciech Pszoniak|Agnieszka Holland|
302|Dirty Hands||Cetywa Powell|
303|Encino Man|Sean Patrick Duke|George Zaloom Shawn Schepps|
304|Faustrecht der Freiheit|Kurt Raab|Rainer Werner Fassbinder|
305|The Crimes of Stephen Hawke|D. J. Williams|Jack Celestin|
306|Frostbiten|Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg|Daniel Ojanlatva & Pidde Andersson|
307|National Lampoon Goes the the Movies|Peter Riegert|Gerald Sussman|
308||William Davis Garwood Jr.||
309||Phylbert Angellie Ranollo Fagestrom||
310|The Facts of Life|Leslie Townes Hope|Melvin Frank|
311||Roger Meddows-Taylor||
312|Raining Stones|Bruce Jones|Jim Allen|
313||Cone McCaslin||
314|You Only Live Once|Henry Jaynes Fonda|Gene Towne|
315||Eduardo Noriega|Christophe Honore|
316||Theodor Friedrich Emil Janenz|Carl Mayer|
317||John Stephen Goodman|Roger Gould|
318|Athanokkade|Kalyan Ram|Surender Reddy|
319||Soha Ali Khan|Imtiaz Ali|
320||Mukesh Khanna||
321||William Henry Pratt|Curt Siodmak|
322|Atoll K|Arthur Stanley Jefferson|John D. Klorer Frederick Kohner Piero Tellini Renu00E9 Wheeler|
323|The Final Option|Judy Davis|Reginald Rose|
324||Monica Bellucci|Carl Austin|
325||Haidar Khan|Terry Ramsaye|
326|Blades of Glory|Jonathan Joseph Heder|Jeff Cox|
327|Fearless|Isabella Fiorella Elettra Giovanna Rossellini|Rafael Yglesias|
328|Darling|Esha Deol|Kusum Punjabi|
329|Ocean's Thirteen|Elliott Goldstein|Brian Koppelman|
330||Theodor Friedrich Emil Janenz|Fridel K?hne|
331|Children of Divorce|Esther Ralston|Owen Johnson|
332|Street Smart|Christopher Reeve|David Freeman|
333||Terrance Quinn|Charles Robert Carner|
334||Allari Naresh|Varaprasad varma EVV Satyanarayana|
335|Merry Christmas, Mr. Lawrence|David Bowie|Paul Mayersberg|
336|The Sky is Falling|Teri Garr|Florrie Laurence|
337|Acciu00F3n mutante|Fernando Guill?n|Jorge Guerricaechevarr?a|
338|The Longest Night in Shanghai|Masahiro Motoki|Yuji Yamamura|
339||Liubomiras Laucevi?ius|Algimantas Puipa|
340||Joel Solomon Cohen|Talbot Rothwell|
341|A Walk to Remember|Shannon Bruce Snaith|Nicholas Sparks (author)|
342|The Glass Mountain|Michael Denison|Emery Bonnet|
343|Truth in Numbers: The Wikipedia Story|KRS-One||
344|Robin's Big Date|Justin Jake Long|Will Carlough|
345||Peter Fitz|Christian Rateuke Hartmann Schmige|
346|Texas Rangers|James William Van Der Beek, Jr.|Scott Busby|
347||Sanjay Khan||
348||Eugenie Forde||
349|La Battaglia dell'ultimo panzer|Guy Madison|Giuseppe Chiarolla Giuliana Garavaglia Josu00E9 Luis Merino|
350|Zyzzyx Rd.|Leo Grillo|John Penney|
351||Shyama||
352|The Trail of Hate|John Martin Feeney|John Martin Feeney|
353|The Cars That Ate Paris|John Meillon|Peter Lindsay Weir|
354||Michael Jackson|Michael Jackson|
355||Tito Alonso|Israel Chas de Cruz|
356|Yaadein|Balraj Dutt|Akhtar-Ul-Iman|
357|Black Moon|Joseph Angelo (Joe) D'allesandro|Joyce Bu?uel|
358|The Tenderfoot's Money|Henry DeWitt Carey II|Stanner E.V. Taylor|
359|House Party|Kid n' Play|Reginald Hudlin|
360||Gregory Walcott|Harry Kleiner (story) Art Cohn|
361|In My Father's Den|Emily Barclay|Brad McGann|
362||Archibald Alec Leach|Samuel and Bella Spewack|
363||Irfan Khan|Yogesh Vinayak Joshi|
364|Phir Milenge|Salman Khan|Atul Sabharwal|
365||Sangeetha||
366|Get Smart|Kenneth Davitian|Tom J. Astle Matt Ember|
367||Blaise Beckjord|Derek Westerlund|
368||Cipe Lincovsky|Agnieszka Holland|
369|Plunkett & Macleane|Jonathan Lee Miller||
370|Perfect Friday|Ursula Andress|Anthony Greville-Bell|
371|Academy Award for Documentary Feature|Emperor Penguin|Michel Fessler|
372|Dog Day Afternoon|Christopher Sarandon|Frank Pierson|
373||Oliver Parniere|Catherine Breillat Roger Salloch|
374||Craig Sheffer|Joel Soisson|
375|Masked|Hoot Gibson|Hope Loring|
376|Under Cover Man||John Wilstach|
377||Bhuvaneswari||
378||Deborah Jo Hunter|Boaz Davidson|
379|||Andrew Bampfield|
380||Louis Feinberg|Felix Adler|
381||Jean Stapleton|Allen Estrin Cindy Marcus Flip Kobler|
382|Space Cowboys|Tommy Lee Jones|Ken Kaufman|
383||Michael Hordern|A. J. Cronin|
384||Mariel Hadley Hemingway|Mike Binder|
385|Till glu00E4dje|Birger Malmsten|Ingmar Bergman|
386||Virginia Clara Jones|David Lang|
387||Dorothy Stickney|Dorothy Macardle|
388|The Secret Fury|Lily Claudette Chauchoin|Lionel Houser|
389|Elegy|Krishna Bhanji|Nicholas Meyer|
390|Futurama: Bender's Big Score|Catherine Louise Sagal|David X. Cohen|
391||Ivo Livi, born of Catholic peasants in Italy|Henri Verneuil|
392||Emraan Hashmi||
393|Scarfies|Willa O'Neill|Duncan Sarkies & Robert Sarkies|
394||Lucas Puig||
395||Mel Blanc|Tedd Pierce|
396|The Day of the Locust|Donald McNichol Sutherland|Waldo Salt|
397|Where the Green Ants Dream|Bruce Spence|Werner Stipetiu0107|
398||Edward Glen|Britt Allcroft|
399|Amorosa|Stina Ekblad|Mai Zetterling|
400||Donald Sumpter|Derek Ford|
401||Ferrah Leni Fawcett|David Giler|
402|Strange Days|Ralph Nathaniel Twisleton-Wykeham Fiennes|Jay Cocks|
403|Madhumasam|Suhasini Rajaram Naidu|Chandra Siddhartha (screenplay)   Satyanand (dialogue)   Balabhadrapatruni Ramani (novel)|
404|Dus|Salman Khan|Mukul S. Anand|
405||Tak Sakaguchi|Ryuhei Kitamura|
406||Sebastian Cabot|Leo Gordon|
407||Anula Karunatilleke|P. K. D. Seneviratne|
408|Il Ladro di bambini|Giuseppe Ieracitano|Gianni Amelio|
409||Susan Kingsley|Marisa Silver|
410|Dark Harvest|Jessica Dunphy|Paul Moore|
411|Eraserhead|Charlotte Stewart|David Keith Lynch|
412||Sangeeta|Hasan Imtisal|
413||Charles Dennis Buchinsky|Eliot Asinof|
414||Francis Xavier Aloysius James Jeremiah Keenan Wynn|Jim Lehrer|
415|Stardust|David Essex|Ray Connolly|
416|Short Cuts|Timothy Francis Robbins|Robert Bernard Altman|
417|Going Upriver||Douglas Brinkley|
418|Beyond Evil|John Saxon|David Baughn Herb Freed Paul Ross|
419||Ernest Frederick McIntyre Bickel|W. P. Lipscomb|
420||Kitty Bradbury|Clyde Bruckman|
421|Narco|Isabelle Breitman|Alain Attal (story) Philippe Lefebvre (story) Gilles Lellouche|
422|Renegades||Andr? Armandy|
423||Pran||
424|Golden Lion|Vladimir Vujoviu0107|Henri-Georges Clouzot|
425||Caroline Cellier|Nicholas Blake|
426|Planet of the Apes|Maurice Evans (actor)|Pierre Boulle|
427||Ralf M?ller|Uwe Boll|
428|Jet Lag|Sergi L?pez|Daniu00E8le Thompson Christophe Thompson|
429||Georgianna Carter|Ann Porter|
430||Angus Macfadyen|Keoni Waxman|
431||Heidi Van Lier as Heather|Heidi Van Lier|
432||Andr?s Pajares|Jos? Sanch?s Sinisterra|
433||James Stewart (actor)|Richard L. Breen|
434|Bed of Roses|Constance Campbell Bennett||
435|Urban Legends: Final Cut|Jennifer Marie Morrison|Scott Derrickson|
436|A Woman Called Golda|Robert Loggia|Harold Gast, Steve Gethers|
437||Jerome Lester Horwitz|Elwood Ullman|
438|Les Filles Du Botaniste|Li Xiaoran|Dai Sijie|
439||Guy Bridges Kibbee|Geza Herczeg|
440||Kemal Sunal|Sinan u00C7etin   Gu00FClin Tokat|
441|The Dark||Stephen Massicotte|
442|A Frightful Blunder|Charles West (actor)|Edward Acker|
443|The Brothers Karamazov|Maria Schell|Fyodor Dostoevsky|
444|Ghost Galleon|Barbara Rey|Amando de Ossorio|
445|The Big Steal|Jane Greer|Daniel Mainwaring|
446|Damian'S National Lampoon's Last Resort|Corey Scott Feldman|Patrick Labyorteaux|
447||Anna Louise Friel|Marian Keyes|
448|The Year of Living Dangerously|Noel Ferrier|Peter Lindsay Weir|
449||Claus Holm|Werner J?rg L?ddecke|
450|Topaze|Myrna Adele Williams|Marcel Pagnol|
451|The Corsican Brothers|Roy Dotrice|Rikki Marin|
452||Lance Armstrong||
453||Tommy Lee Jones|Guillermo Arriaga|
454|Capricorn One|Elliott Goldstein|Peter Hyams|
455|Tristar|u5F35u767Cu5B97 (Cheung Fat Chung)||
456||Yvonne Lime Bret Halsey Jana Lund|Mark Lowell Jan Lowell|
457||Antonino Giovanni Ribisi|Rob Hickman|
458||William Hansen|Michael Crichton|
459|David and Bathsheba|Edythe Marrenner|Philip Dunne (writer)|
460||Emmanuelle Riva|Georges Franju|
461|Southie|Rose Arianna McGowan||
462||Biagio Anthony Gazzara|Laura Cahill|
463|Der Hauptmann von Ku00F6penick|Max Adalbert|Albrecht Joseph|
464||Khristofor Lawl Rossianov||
465|Invasion of the Bee Girls|Victoria Vetri|Nicholas Meyer|
466|Insanitarium||Jeff Buhler|
467|Zoom|Kate Mara|Adam Rifkin|
468||Laila|S. Shankar|
469|One Hour Photo|Michael Vartan|Mark Romanek|
470|Devils on the Doorstep|Yuan Ding|Shi Jianquan|
471||Mimi Heinrich|Erik Fiehn|
472||Denise Michelle Crosby||
473||Hilary Duff|Gail Parent|
474||Raakhee Gulzar|Iqbal Durrani|
475|Shall We Dansu?|Tamiyo Kusakari|Masayuki Suo|
476|||Alexander Dovzhenko|
477||moe.|moe.|
478|The Light That Failed (1939 Film)|Walter Houghston||
479||Maurice Denham|Mark Twain|
480|Shart: The Challenge|Tusshar Kapoor|Puri Jagannadh|
481|Escape from L.A.|Georges Corraface|Debra Hill|
482|Hell's Island|Mary Murphy|Maxwell Shane|
483||Sada Carolyn Thompson|Terrence McNally|
484||Vijayaraj||
485||Choosak Iamsook||
486||Milo? Kopeck?|Ji?? Brde?ka|
487|Babes in Arms|Frances Ethel Gumm|Kay Van Riper|
488||Madhuri Shankar Dixit|K. S. Adiyaman Arun Kumar Ashok Mehta Reema Rakeshnath|
489|The Mighty|Virginia Cathryn Rowlands|Rodman Philbrick|
490|Quicksilver|Kevin Norwood Bacon|Thomas Michael Donnelly|
491|The Blue Hour|Alyssa Jayne Milano|Eric Nazarian|
492||Ornella Muti|Giuseppe Moccia|
493||Max Bing||
494|Perversidade||Jos? Medina|
495|Metropolitan|Taylor Nichols|Whit Stillman|
496|That's My Line|Louis John Bartels|Roscoe Arbuckle|
497|Samurai Rebellion|Toshir? Mifune|Shinobu Hashimoto|
498|Wolf Tracks|Hoot Gibson|Mack V. Wright|
499||John Carroll O'Connor|Edwin O'Connor|
500|White Hunter Black Heart|George Dzundza|James Bridges|
501||Mohnish Bahl|Mahesh Manjrekar|
