Entity Id|address|author|editor|institution|month|note|pages|publisher|title|venue|volume|year|
46|new york, ny,|n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.|||||pages 382-391.|acm press,|how to use expert advice.|in proc. 25th symposium on the theory of computing,||1993.|
47||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||||pages 382-391,||how to use expert advice.|in proceedings of the 43 twenty-fifth annual acm symposium on the theory of computing,||1993.|
48||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||may|references 17|pages 382-391,||how to use expert advice.|in proceedings of the twenty fifth annual acm symposium on theory of computing,||1993.|
49||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.|||||||how to use expert advice.|proceedings of the 25th acm symposium on the theory of computation,||1993.|
50||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e schapire, and manfred k warmuth.|||||pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
51||n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k.|||||pp. 382-391,||warmuth 'how to use expert advice',|proceedings of stoc93,||1993.|
52|oxford, 1994.|n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.|||||pages 205-216,|oxford university press.|on-line predic tion and conversion strategies.|in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,|||
53|oxford, 1994.|n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.|||||pages 205-216,|oxford university press.|on-line prediction and conversion strategies.|in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,|||
54||cesa-bianchi, n., freund, y., helmbold,||||to appear.||m.k.|on-line prediction and conversion strategies. in proceedings of the first euro-colt workshop.|the institute of mathematics and its applications,||(1994).|
55||cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.|||||pages 205-216,|oxford. oxford university press.|on-line prediction and conversion strategies.|in computational learning theory:|eurocolt '93,|(1994).|
56||cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.|||||pages 205-216.|oxford university press.|on-line prediction and conversion strategies.|in computational learning theory:|eurocolt '93,|(1994).|
57||cesa-bianchi, n., y. freund, d. p. helmbold, and m. warmuth.|||||pages 205-216,|oxford. oxford university press.|on-line prediction and conversion strategies.|in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,||1994.|
58|oxford, 1994.|n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.|||||pages 205-216,|oxford university press.|on-line prediction and conversion strategies.|in computational learning theory:|eu-rocolt '93,||
59||n. cesa-bianchi, y. freund, d.p. helmbold, and m. warmuth.|||||pages 205-216.|clarendon press,|on-line prediction and conversion strategies.|in eurocolt,||1993.|
60|oxford, 1994.|n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.|||||pages 205-216,|oxford university press.|on-line prediction and conversion strategies.|in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,|||
61||n. cesa-bianchi, y. freund, d. helmbold, and m.k. warmuth.|||||||on-line prediction and conversion strategies.|the 1993 ima european conference on computational learning theory,||1993.|
62|oxford, 1994.|n. cesa-bianchi, y. freund, d. p. helm-bold, and m. warmuth.|||||pages 205-216,|oxford university press.|on-line prediction and conversion strategies.|in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications confer--ence series,|||
63||cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e. & warmuth, m. k.||univ. of calif. computer research lab, santa cruz, ca.||an extended abstract appeared in stoc '93.|||how to use expert advice,|technical report ucsc-crl-94-33,||(1994),|
64|new york.|cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., and warmuth, m. k.||university of california,|||pp. 382-381,|acm press,|'how to use expert advice,'|computer research laboratory. an extended abstract appeared in 'proceedings, 25th annual acm symposium on the theory of computing,'||(1994),|
65||n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,||ucsc-crl-94-33, university of california, santa cruz,|||||'how to use expert advice',|tech. rep.||1994.|
66|santa cruz, ca,|n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.||univ. of calif. computer research lab,||an extended abstract appeared in stoc '93.|||how to use expert advice.|technical report ucsc-crl-94-33,||1994.|
67||n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,||ucsc-crl-94-33, university of california, santa cruz,|||||'how to use expert advice,'|tech. rep.||1994.|
68|santa cruz, ca,|n. cesa-bianchi, y. freund ,d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth.||univ. of calif. computer research lab,||an extended abstract appeared in stoc '93.|||how to use expert advice.|technical report ucsc-crl-94-33,||1994.|
69|santa cruz, ca,|n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. war-muth.||univ. of calif. computer research lab,||an extended abstract appeared in stoc '93.|||how to use expert advice.|technical report ucsc-crl-94-33,||1994.|
70|santa cruz, ca,|n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.||univ. of calif. computer research lab,||an extended abstract appeared in stoc '93.|||how to use expert advice.|technical report ucsc-crl-94-33,||1994.|
71||n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth,|||||pp. 71-110,||'on-line prediction and conversion strategies,'|machine learning,|vol. 25,|1996.|
72||n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth.||||to appear, an extended abstract appeared in eurocolt `93.|||on--line prediction and conversion strategies.|machine learning,||1995.|
73||n. cesa-bianchi, y. freund,||||to appear.|||d.p. helmbold, and m.k. warmuth. on-line prediction and conversion strategies.|machine learning,||1996.|
74||cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., & warmuth, m. k.|||||427-485.||how to use expert advice.|journal of the acm,|44(3),|(1997).|
75||nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.|||may||427-485,||how to use expert advice.|journal of the association for computing machinery,|44(3)|1997.|
76||nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.|||may||427-485,||how to use expert advice.|journal of the association for computing machinery,|44(3)|1997.|
77||n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,|||||pp. 427-485,||'how to use expert advice,'|journal of the acm,|vol. 44,|1997.|
78||n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,|||||pp. 427-485,||'how to use expert advice,'|journal of the acm,|vol. 44,|1997.|
79||william w. cohen, rob schapire, and yoram singer.||||to appear in nips-97,|||learning to order things.|||1997.|
80||william w. cohen, robert e. schapire, and yoram singer.|||||||learning ro order things.|in advances in neural information processing systems 10,||1997.|
81||william w. cohen, robert e. schapire, and yoram singer.|||||||learning to order things.|in advances in neural information processing systems 10,||1998.|
82||w. w. cohen, r. e. shapire, and y. singer.|||||||learning to order things.|in advances in neural information processing systems 10,||1998.|
83||t. g. dietterich, m. kearns, and y. mansour.|||||pages 96-104.|morgan kaufmann,|applying the weak learning framework to understand and improve c4.5.|in proceedings of the 13th international conference on machine learning,||1996.|
84||dietterich, t. g., kearns, m., & mansour, y.|||||(pp. 96-104).|morgan kaufmann.|applying the weak learning framework to understand and improve c4.5.|in proceedings of the 13th international conference on machine learning,||(1996).|
85|bari, italy.|dietterich, t., kearns, m., & mansour, y.|||||||applying the weak learning framework to understand and improve c4.5.|in proceedings of the thirteenth international conference on machine learning,||(1996).|
86||dietterich, t., kearns, m., & mansour, y.|||||96-104).||applying the weak learning framework to understand and improve c4.5.|proc. thirteenth intl. conf. machine learning (pp.||(1996).|
87|bari, italy:|dietterich, t., m. kearns, and y.||||||morgan kaufmann.|mansour (1996). applying the weak learning framework to un-derstand and improve c4.5.|to appear in proceedings of the thirteenth international conference on machine learning.|||
88|bari, italy:|dietterich, t., m. kearns, and y.||||||morgan kaufmann.|mansour (1996). applying the weak learning framework to understand and improve c4.5.|to appear in proceedings of the thirteenth international conference on machine learning.|||
89||t. dietterich, m. kearns, and y. mansour.|||||pages 96-104,||applying the weak learning framework to understand and improve c4.5.|in proceedings of the 13th international conference on machine learning,||1996.|
90||tom dietterich, michael kearns, and yishay mansour.|||||||applying the weak learning framework to understand and improve c4.5.|in machine learning: proceedings of the thirteenth international conference,||1996.|
91||t. dietterich, m. kearns, and y. mansour.||||||morgan kaufmann,|applying the weak learning framework to understand and improve c4.5.|in machine learning: proceedings of the international conference.||1996.|
92||t. dietterich, m. kearns, and y. mansour.|||||||applying the weak learning framework to understand and improve c4.5.|unpublished manuscript,||1996.|
93||h. drucker, r. schapire, and p. simard.|in steven j. hanson, jack d. cowan, and c. lee giles, editors,||||pages 42-49.|morgan kaufmann,|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems,|volume 5,|1993.|
94||h. drucker, r. schapire, and p. simard.|in steven j. hanson, jack d. cowan, and c. lee giles, editors,||||pages 42-49.|morgan kaufmann,|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems,|volume 5,|1993.|
95|san francisco:|drucker, h., schapire, r., & simard, p.||||||morgan kaufmann.|improving performance in neural networks using a boosting algorithm.|in advances in neural information processing systems (vol. 4).||(1992).|
96|palo alto, ca.|drucker, h., schapire, r., & simard, p.|in hanson, j., cowan, j., & giles, c., editors,||||(pp. 42-49),|morgan kaufmann.|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems (volume 5),||(1992).|
97|san mateo, ca.|drucker, h., schapire, r., & simard, p.|in hanson, s. j., cowan, j. d., & giles, c. l., editors,|||||morgan kaufmann,|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems (volume 5).||(1993).|
98||drucker, h., schapire, r., & simard, p.|||||42-49.||improving the performance in neural networks using a boosting algorithm.|advances in neural information processing systems,|5,|(1993).|
99||r. & hart, p.|in hanson, s. j., cowan, j. d., & giles, c. l. (eds.),|||morgan kaufmann. 198 duda,|(pp. 42-49).|addison-wesley.|pattern classification and scene analysis.|advances in neural information processing systems,|volume 5,|(1973).|
100||drucker, h., schapire, r., and simard, p.|in hanson, s. j., cowan, j. d., and giles, c. l., editors,||||pages 42-49.|morgan kaufmann.|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems,|volume 5,|(1993).|
101|san mateo, ca.|drucker, h., schapire, r., and simard, r.|in hanson, s. j., cowan, j. d., and giles, c. l., editors,||||pages 42-49,|morgan kaufmann.|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems 5,||1993.|
102|san ma-teo, ca.|drucker, harris; schapire, robert; and simard,|||||42-49.|morgan kaufmann.|patrice 1993. improving performance in neural networks using a boosting algorithm.|in advances in neural informations processing systems 5,|||
103|42-49,|drucker, h., schapire, r., simard, p.|s. j. hanson, j. cowan, l. giles (eds.),|||||morgan kaufmann.|(1993) 'improving performance in neural networks using a boosting algorithm,'|in advances in neural information processing systems 5,|||
104||drucker, schapire and simard,|||||42-49. 14||improving performance in neural networks using a boosting algorithm,|advances in neural information processing systems 5,||1993,|
105||harris drucker, robert schapire, and patrice simard.|in steven j. hanson, jack d. cowan, and c. lee giles, editors,||||pages 42-49.|morgan kaufmann,|improving performance in neural networks using a boosting algorithm.|advances in neural information processing systems 5,||1993.|
106||harris drucker, robert schapire, and patrice simard.||||||morgan kaufmann,|improving performance in neural networks using a boosting algorithm.|in advances in neural information processing systems.||1992.|
107|san mateo, ca,|h. drucker, r. schapire, and p. simard,|s. j. han-son, j. d. cowan, and c. l. giles, eds.,||||pp. 42-49,|morgan kaufmann.|'improving performance in neural networks using a boosting algorithm,'|in advances in neural information processing systems 5,||1993,|
108|42-49,|drucker, h., schapire, r., simard, p.|s. j. hanson, j. cowan, l. giles (eds.),|||||morgan kaufmann.|(1993) 'improving performance in neural networks using a boosting algorithm,'|in advances in neural information processing systems 5,|||
109||harris drucker, robert schapire, and patrice simard.|||||pages 42-49,||improving performance in neural networks using a boosting algorithm.|in advances in neural information processing systems 5,||1993.|
110|san mateo, ca, 1993.|harris drucker, robert schapire, and patrice simard.|||||pages 42-49,|morgan kaufmann.|improving performance in neural networks using a boosting algorithm.|in advances in neural informations processing systems 5,|||
111|san mateo, ca, 1993.|harris drucker, robert e. schapire, and ptrice simard.||||||morgan kaufmann.|improving performance in neural networks using a boosting algorithm.|in proceedings of the fifth conf. on neural informations processing systems,|||
112||h. drucker, r. schapire, and p. simard.||||[to appear].|||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|||
113||harris drucker, robert schapire, and patrice simard.|||||||boosting performance in neural net-works.|international journal of pattern recognition and artificial intelligence,|7(4):705719,|1993.|
114||harris drucker, robert schapire, and patrice simard.|||||705-719,||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7(4)|1993.|
115||drucker, h., r. schapire & p.|||simad||pp. 42-49.||improving the performance in neural networks using a boosting algorithm,|advances in neural information processing systems,|5,|(1993),|
116||drucker, h., schapire, r. & simard, p.|in s. hanson, j. cowan & c. giles, eds,||||pp. 42-49.|morgan kauffmann,|improving performance in neural networks using a boosting algorithm,|`neural information processing systems',||(1993),|
117||drucker, h., schapire, r. e., & simard, p.|||||705-720.||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7 (4),|(1993).|
118||drucker, h., schapire, r., & simard, p.|||||705-719.||boosting performance in neural networks.|intl. j. pat. recog. art. intel.,|7,|(1993).|
119||drucker, h., schapire, r., & simard, p.|||||705-719.||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7 (4),|(1993a).|
120||drucker, harris; schapire, robert; and simard,|||||705-719.||patrice up . boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence 7(4)|||
121||h. drucker, r. schapire, and p. simard.|||||705-719,||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7(4)|1993.|
122||harris drucker, robert schapire, and patrice simard.|||||705-719,||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|4|1993.|
123||h. drucker, r. schapire, and p. simard,|||||pp. 705-719,||'boosting performance in neural networks,'|international journal of pattern recognition and artificial intelligence,|vol. 7, no. 4,|1993.|
124||harris drucker, robert schapire, and patrice simard.|||||||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7(4):705 719,|1993.|
125||harris drucker, robert schapire, and patrice simard.|||||705-719,||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7(4)|1993.|
126||h. drucker, r. schapire, and p. simard.||||to appear.|||boosting performance in neural networks.|intl. j. pat. recog. art. intel.,||1993.|
127||harris drucker, robert schapire, and patrice simard.|||||705-719,||boosting performance in neural networks.|international journal of pattern recognition and artificial intelligence,|7(4)|1993.|
128||h. druker, r. schapire, p. simard,|||||42-49.|morgan kaufmann,|improving performance in neural networks using a boosting algorithm,|advances in neural information processing systems,|vol. 5,|1993,|
129||ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.|||||||a general lower bound on the number of examples needed for learning.|in proceedings colt-88.||(1988).|
130|boston, ma:|ehrenfeucht, a.; haussler, d.; kearns, m.; and valiant, l.g.|||||139-154.|morgan kaufmann.|a general lower bound on the number of examples needed for learning.|in proceedings of the first workshop on computational learning theory,||1988.|
131|santa cruz, ca,|a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.||university of california, computer research laboratory,|jan-uary||||a general lower bound on the number of examples needed for learning.|technical report ucsc-crl-87-26,||1988.|
132|los altos, ca, 1988.|a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.|||||pages 110-120,|morgan-kaufmann.|a general lower bound on the number of examples needed for learning.|in colt 88: proceedings of the conference on learning,|||
133|san mateo, ca,|a. ehrenfeucht, d. haussler, m. kearns and l. g. valiant,|||139-154.||||a general lower bound on the number of examples needed for learning,|in: proceedings of the first workshop on computational learning theory (morgan kaufmann,||1988)|
134||ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.,|||||p. 139-154.|morgan kaufmann,|a general lower bound on the number of examples needed for learning,|proceedings of the 1988 workshop on computational learning theory,||1988,|
135|san jose, 1988.|a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.|in d. haussler and l. pitt, editors,|||||morgan kaufmann.|a general lower bound on the number of examples needed for learning.|proc. of the 1988 workshop on computational learning theory,|||
136||a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.|||||pp. 139-154.|morgan kaufmann publishers,|a general lower bound on the number of examples needed for learning.|33 proceedings of the 1988 workshop on computational learning theory,||1988,|
137||a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.|||||247-261,||a general lower bound on the number of examples needed for learning.|information and computation,|82|1989.|
138||a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant.|||||247-251,||a general lower bound on the number of examples needed for learning.|information and computation,|82(3)|1989.|
139||a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.|||||247-251,||a general lower bound on the number of examples needed for learning.|information and computation,|82(3)|1989.|
140||a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.|||||247-266,||a general lower bound on the number of examples needed for learning.|inf. and computation,|82(3)|1989.|
141||a. ehrenfeucht, d. haussler, m. kearns, and l.g. valiant,|||||247-251.||a general lower bound on the number of examples needed for learning.|information and computation,|82(3)|(1989).|
142||ehrenfeucht, a., haussler, d., kearns m., & valiant, l.g.|||||247-261.||a general lower bound on the number of examples needed for learning.|information and computation,|82,|(1989).|
143||ehrenfeucht, a., haussler, d., kearns, m. j., and valiant, l.|||||247-261.||a general lower bound on the number of examples needed for learning.|information and computation,|82|1989.|
144||ehrenfeucht, a., haussler, d., kearns, m., & valiant, l. g.|||||247-261.||a general lower bound on the number of examples needed for learning.|information and computation,|82,|(1989).|
