id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street
418|cypress club|415/296-8555|
419|||81 macdougal st.  between houston and bleeker sts.
420|cafeterias||
421|captain's table|212/697-9538|
422|||1 market st.
423|seafood||
424|||51 w. 64th st.
425|american||
426|||60 w. 53rd st.
427|||2709 main st.
428|cafeterias||
429|diva|212/941-9024|
430|||4
431|thepin|415/863-9335|
432|italian||
433|italian||
434|thai||
435|||2257 chestnut st.
436|indian||
437|apple pan  the|310-475-3585|
438|asian||
439|southern/soul||
440|||2420 broadway at 89th st.
441|american||
442|||515 s. olive st.
443|daniel|212-288-0033|
444|seafood||
445|cassell's|213-480-8668|
446|american (traditional)||
447|american||
448|||2 harrison st.
449|||500 e. 30th st.
450|latin american||
451|anthonys|404/262-7379|
452|||207 s. beverly dr.
453|delis||
454|lutece|212-752-2225|
455|milan cafe and coffee bar|212/807-1801|
456|diners||
457|||2 e. 55th st.
458|zankou chicken|818-244-1937|
459|||2911 s. pharr court
460|||7050 jimmy carter blvd.  norcross
461|continental||
462|fat matt's rib shack|404/607-1622|
463|eclipse|310/724-5959|
464|||1121 s. western ave.
465|middle eastern||
466|san domenico|212-265-5959|
467|american||
468|||331 w. fourth st.
469|||1 water st.
470|gray's papaya|212-799-0243|
471|asian||
472|||679 n. spring st.
473|le dome|310/659-6919|
474|||171 mcdonough blvd.
475|japanese||
476|||308 w. sahara ave.
477|asian||
478|||127 greene st.
479|||3000 paradise rd.
480|menchanko-tei|212-247-1585|
481|rj's the rib joint|310/274-7427|
482|french (classic)||
483|californian||
484|||1722 sacramento st.
485|asian||
486|cafe marimba|415/776-1506|
487|||69 w. 71st st.
488|american||
489|french||
490|italian||
491|||500 jackson st.
492|asian||
493|||860 2nd ave. at 46th st.
494|harbor village|415/781-8833|
495|||435 s. la cienega blvd.
496|vegetarian||
497|columbus bakery|212/421-0334|
498|italian||
499|continental||
500|kuleto's|415/397-7720|
501|||341 w. broadway  near grand st.
502|continental||
503|evergreen cafe|212/744-3266|
504|||298 gough st.
505|american||
506|nuevo laredo cantina|404-352-9009|
507|patina|213-467-1108|
508|mexican||
509|fraunces tavern|212/269-0144|
510|||10801 w. pico blvd.
511|french (classic)||
512|brighton coffee shop|310-276-7732|
513|french||
514|californian||
515|delis||
516|american||
517|||3266 w. sixth st.
518|mediterranean||
519|hollywood hills coffee shop|213-467-7678|
520|marichu|212/370-1866|
521|californian||
522|||3109 piedmont rd.  just south of peachtree rd.
523|american||
524|city grill|404/524-2489|
525|american||
526|la cachette|310-470-4992|
527|petrossian|212-245-2214|
528|bbq||
529|||120 w. 23rd st.
530|odeon|212/233-0507|
531|||1415 e. colorado st.
532|noodle shops||
533|||100 e. 63rd st.
534|||1811 piedmont ave.  near cheshire bridge rd.
535|american||
536|||201 moreno dr.
537|jack sprat's grill|310/837-6662|
538|french (new)||
539|union square cafe|212-243-4020|
540|planet hollywood|212/333-7827|
541|||2090 broadway
542|la caridad|212-874-2780|
543|||747 ninth ave.
544|american||
545|chinese||
546|pacific dining car|213/483-6000|
547|||1448 n. gower st.
548|french (new)||
549|buckhead diner|404-262-3336|
550|asian||
551|||39 w. 55th st.
552|||3393 peachtree rd.
553|palm too|212-697-5198|
554|american||
555|the mandarin|310/859-0926|
556|||3835 cross creek rd.
557|continental||
558|||2317 chestnut st.
559|american||
560|fog city diner|415/982-2000|
561|thai house cafe|212-334-1085|
562|ambassador grill|212/702-5014|
563|cajun/creole||
564|||4 embarcadero center
565|buffets||
566|il fornaio levi's plaza|415/986-0100|
567|||53rd sts.
568|duane park cafe|212/732-5555|
569|mi spia dunwoody rd.|770/393-1333|
570|lettuce souprise you (at)|770-418-9969|
571|||221 powell st.
572|buffets||
573|l'orangerie|310-652-9770|
574|mccormick & kuleto's|415/929-1730|
575|||1288 1st ave. at 69th st.
576|chinese||
577|first|212/674-3823|
578|french||
579|||1495 chattahoochee ave. nw
580|thelma's kitchen|404-688-5855|
581|||54 pearl st. at broad st.
582|thai||
583|girafe|212/752-3054|
584|||9600 brighton way
585|don antonio's|310-209-1422|
586|french||
587|dusit thai|415-826-4639|
588|indochine|212/505-5111|
589|||6145 franklin ave.
590|italian||
591|johnny reb's southern smokehouse|310-423-7327|
592|american (new)||
593|||342 e. 46th st.  between 1st and 2nd aves.
594|american||
595|morton's|212/972-3315|
596|hamburgers||
597|||50 hurt plaza
598|||10506 little santa monica blvd.
599|maxwell's cafe|310-306-7829|
600|asian||
601|shun lee palace|212-371-8844|
602|italian||
603|||145 w. broadway at thomas st.
604|patria|212/777-6211|
605|delicatessen||
606|||601 s. figueroa st.
607|continental||
608|rae's|310-828-7937|
609|tillerman  the|702-731-4036|
610|||140 w. 57th st.
611|roettelle a. g|212/674-4140|
612|||2199 broadway
613|||2880 las vegas blvd. s.
614|moustache|718-852-5555|
615|coffee bar||
616|||3rd st.
617|roscoe's house of chicken 'n' waffles|213/466-9329|
618|italian||
619|mary mac's tea room|404-876-1800|
620|shaan|212/ 977-8400|
621|||840 second ave.
622|sushisay|212-755-1780|
623|||2637 peachtree rd. ne
624|american||
625|asian||
626|||937 broadway at 22nd st.
627|adrienne|212/903-3918|
628|italian||
629|||1300 battery st.
630|chez michel|415-775-7036|
631|||151 hudson st.
632|||340 stockton st.
633|andre's french restaurant|702-385-5016|
634|||948 1st ave.  between 52nd and 53rd sts.
635|little szechuan|770/451-0192|
636|ben benson's|212/581-8888|
637|italian||
638|hamburgers||
639|||1265 battery st.
640|american||
641|le central|415/391-2233|
642|||157 duane st.  between w. broadway and hudson st.
643|piero's restaurant|702-369-2305|
644|||park place  across from perimeter mall  dunwoody
645|sato sushi and thai|770/449-0033|
646|||3525 mall blvd.
647|coffee shops||
648|rainbow restaurant|404-633-3538|
649|||ghirardelli sq.
650|coffee shops/diners||
651|||87 1st ave.  between 5th and 6th sts.
652|frico bar|212/564-7272|
653|bistro|702/791-7111|
654|french||
655|||764 marietta st. nw
656|caffe greco|415-397-6261|
657|american||
658|mexican||
659|||208 e. 58th st.  between 2nd and 3rd aves.
660|mediterranean||
661|hudson river club|212/786-1500|
662|||1136 westwood blvd.
663|french||
664|||3221 mission st.
665|la taqueria|415-285-7117|
666|||430 lafayette st.  between 4th st. and astor pl.
667|asian||
668|l'absinthe|212/794-4950|
669|||4663 long beach blvd.
670|french||
671|langer's|213-483-8050|
672|||551 5th ave. at 45th st.
673|trio cafe|415-563-2248|
674|||13329 washington blvd.
675|italian||
676|continental||
677|parkway grill|818-795-1001|
678|||250 park ave. s at 20th st.
679|post house|212/935-2888|
680|rumpus|415/421-2300|
681|coffee bar||
682|american (new)||
683|||2901 pico blvd.
684|fast food||
685|georgia grille|404-352-3517|
686|taiko|310-207-7782|
687|||126 e. 7th st.  between 1st ave. and ave. a
688|sarabeth's kitchen|212/496-6280|
689|||405 atlantic ave.
690|||1 margaret mitchell sq.
691|american||
692|||60 n. venice blvd.
693|californian||
694|alain rondelli|415-387-0408|
695|||57 w. 48th st.
696|tapika|212/ 397-3737|
697|||38 e. 51st st.
698|||41 14th st.
699|westside cottage|212-245-0800|
700|mediterranean||
701|||200-250 vesey st. world financial center
702|american||
703|arizona|212/838-0440|
704|southern/soul||
705|||12969 ventura blvd.
706|||545 post st.
707|mifune|415-922-0337|
708|||401 s. 6th st.
709|cuban||
710|michael's (las vegas)|702-737-7111|
711|||c buford hwy.  northwoods plaza  doraville
712|pleasant peasant|404/874-3223|
713|asian||
714|southern/soul||
715|bruno|212/688-4190|
716|||103 waverly pl.  near washington sq.
717|italian||
718|||453 bush st.
719|buffets||
720|||355 convention center dr.
721|pizza||
722|baker's cajun cafe|404-223-5039|
723|||6050 peachtree pkwy.  norcross
724|bally's big kitchen|702/739-4111|
725|||2118 n. decatur rd.
726|italian||
727|american||
728|||402 w. 43rd st.  off 9th ave.
729|french||
730|||3400 las vegas blvd. s
731|circus circus|702/734-0410|
732|||423 columbus ave.
733|eric's chinese restaurant|415-282-0919|
734|mexican/latin american/spanish||
735|||4 world financial center
736|french||
737|fenix at the argyle|213-848-6677|
738|jean lafitte|212/751-2323|
739|||2889 mission st.
740|san francisco bbq|415-431-8956|
741|greek and middle eastern||
742|||227 e. 67th st.
743|coffee bar||
744|le chantilly|212/751-2931|
745|||704 s. alvarado st.
746|french||
747|||1870 fillmore st.
748|pane e vino|415/346-2111|
749|american||
750|main street|212/873-5025|
751|||510 s. arroyo pkwy.
752|american (new)||
753|russell's burgers|310-596-9556|
754|||28 e. 63rd st.
755|||1 tillman pl.
756|straits cafe|415/668-1783|
757|steakhouses||
758|||11677 san vicente blvd.
759|pacific new wave||
760|||423 amsterdam ave.  between 80th and 81st sts.
761|stage deli|212/245-7850|
762|italian||
763|asian||
764|hot dogs||
765|||8638 w. third st.
766|||2316 polk st.
767|||950 8th ave. at 56th st.
768|asian||
769|trois jean|212/988-4858|
770|hawthorne lane|415-777-9779|
771|||689 ninth ave.
772|seafood||
773|cafe des artistes|212-877-3500|
774|continental||
775|||1393a 2nd ave.  between 72nd and 73rd sts.
776|boca chica|212/473-0108|
777|californian||
778|||201 w. 83rd st.
779|zoe|212/966-6722|
780|asian||
781|bistro garden|310/550-3900|
782|||3rd st. promenade
783|||3595 las vegas blvd. s.
784|american||
785|stefano's|702-385-7111|
786|||555 peachtree st.  at linden ave.
787|american||
788|||33 w. 55th st.
789|||1134 euclid ave.
790|dive!|310/788-|
791|asian||
792|carey's|770-422-8042|
793|||3645 las vegas blvd. s
794|cafe michelle|702/735-8686|
795|asian||
796|italian||
797|bel-air hotel|310-472-1211|
798|chinese||
799|java jive|404-876-6161|
800|||2880 las vegas blvd. s
801|mary's diner|702/454-8073|
802|||1500 church st.
803|vegetarian||
804|||68 w. 58th st.
805|italian||
806|l'udo|212/388-0978|
807|bix|415/433-6300|
808|||1328 18th st.
809|cafe fes|212/924-7653|
810|wa-ha-ka oaxaca mexican grill|415-775-1055|
811|||
812|||106 e. 57th st.
813|american||
814|les halles|212/679-4111|
815|southwestern||
816|chiam|212/371-2323|
817|||3011 steiner st.
818|japanese||
819|south park cafe|415/495-7275|
820|||446 columbus ave.  between 81st and 82nd sts.
821|italian||
822|||1198 pch
823|delis||
824|||9560 dayton way
825|diners||
826|||3300 geary blvd.
827|vivande ristorante|415/673-9245|
828|american (new)||
829|cajun/creole||
830|||834 7th ave.  between 53rd and 54th sts.
831|asian||
832|the coffee pot|212/265-3566|
833|benita's frites|310-458-2889|
834|yujean kang's|818-585-0855|
835|american (new)||
836|chicken||
837|||3115 pico blvd.
838|||154 e. 79th st.  between lexington and 3rd aves.
839|coffee bar||
840|ritz-carlton dining room (san francisco)|415-296-7465|
841|vong|212/486-9592|
842|||2930 beverly glen circle
843|french bistro||
844|gotham bar & grill|212-620-4020|
845|||99 e. 52nd st.
846|||129 fremont st.
847|||90 prince st.  between broadway and mercer st.
848|middle eastern||
849|||310 n. larchmont blvd.
850|bistango|404/724-0901|
851|cava|213/658-8898|
852|japanese||
853|bobby & june's kountry kitchen|404-876-3872|
854|mi cocina|212-627-8273|
855|continental||
856|||102 fifth ave.
857|cafe con leche|212-595-7000|
858|||1021 cobb pkwy. se
859|||2020 ave. of the stars
860|hsu's gourmet|404/659-2788|
861|gladstone's|310/454-3474|
862|steakhouses||
863|greenwood's|770-992-5383|
864|||1350 e. flamingo rd.
865|golden nugget hotel|702/385-7111|
866|mediterranean||
867|john's pizzeria|212-721-7001|
868|nate 'n' al's|310/274-0101|
869|||790 ponce de leon ave.
870|polish||
871|||5111 w. boulder hwy.
872|2223|415/431-0692|
873|coffee bar||
874|cafe botanica|212/484-5120|
875|italian||
876|||432 lafayette st.  near astor pl.
877|||56 gold st.
878|southern||
879|||246 w. 4th st. at charles st.
880|chevys|415/543-8060|
881|||2141 polk st.
882|spanish||
883|capsouto freres|212/966-4900|
884|greek and middle eastern||
885|||411 park ave. s  between 28th and 29th sts.
886|american||
887|||160 e. 48th st.
888|helmand|415/362-0641|
889|||624 s. la brea ave.
890|japanese||
891|dean & deluca|212/254-8776|
892|||108 south park
893|the heights|415/474-8890|
894|seafood||
895|diners||
896|fifty seven fifty seven|212/758-5757|
897|||670 golden gate ave.
898|french (new)||
899|latin american||
900|delis||
901|||350 9th ave. at 49th st.
902|||1433 third st. promenade
903|cafe blanc|310-888-0108|
904|chanterelle|212-966-6960|
905|french (classic)||
906|californian||
907|american||
908|||200 e. 54th st.
909|italian||
910|annie's thai castle|404/264-9546|
911|||700 w. fifth st.
912|italian||
913|jody maroni's sausage kingdom|310-306-1995|
914|lespinasse (new york city)|212-339-6719|
915|mavalli palace|212/679-5535|
916|japanese||
917|||155 w. 58th st.
918|water grill|213-891-0900|
919|||375 14th st.
920|||1100 peachtree st.
921|asian||
922|||134 n. la cienega
923|dante's down the hatch|404/577-1800|
924|dynasty room|310/208-8765|
925|river cafe|718-522-5200|
926|||424 amsterdam ave.
927|pacifica|212/941-4168|
928|american||
929|||30 rockefeller plaza
930|good enough to eat|212-496-0163|
931|||192 peachtree center ave.  at international blvd.
932|american||
933|||4500 los feliz blvd.
934|le colonial|310/289-0660|
935|||1087 green st.
936|bbq||
937|||129 e. fremont st.
938|le montrachet bistro|702-732-5651|
939|italian||
940|||48 w. 65th st.
941|||3799 las vegas blvd. s.
942|marnie's noodle shop|212-741-3214|
943|mexican||
944|prego|310/277-7346|
945|||3rd st. promenade
946|american (new)||
947|||2223 market st.
948|italian||
949|cafe adriano|415/474-4180|
950|||160 central park s
951|american||
952|sam's noodle shop|212-213-2288|
953|italian||
954|italian||
955|||4th and howard sts.
956|asian||
957|greens|415/771-6222|
958|||451 washington st.  near watts st.
959|coco pazzo|212/794-0205|
960|coffee bar||
961|||430 broadway
962|coffee shops/diners||
963|katia's|415/668-9292|
964|||121 prince st.
965|californian||
966|ernie's|212/496-1588|
967|||3235 sacramento st.
968|american||
969|nava|404-240-1984|
970|palm  the (los angeles)|310-550-8811|
971|||57 e. 57th st.
972|mediterranean||
973|follonico|212/691-6359|
974|brent's deli|818-886-5679|
975|american||
976|french bistro||
977|white house restaurant|404-237-7601|
978|mexican/tex-mex||
979|french||
980|||9777 little santa monica blvd.
981|russian||
982|gumbo pot  the|213-933-0358|
983|italian||
984|manila garden|212/777-6314|
985|diners||
986|||3195 roswell rd.
987|american||
988|american||
989|||2011 ocean front walk
990|park avenue cafe (new york city)|212-644-1900|
991|koo koo roo|213-655-9045|
992|american (new)||
993|||46 e. 29th st.
994|newsbar|212/255-3996|
995|||544 s. grand ave.
996|desserts||
997|||55 e. 54th st.
998|||underground underground mall  underground atlanta
999|coffee bar||
1000|||439 n. beverly drive
1001|uncle nick's|212-245-7992|
1002|american (new)||
1003|||138 lafayette st.  between canal and howard sts.
1004|persepolis|212/535-1100|
1005|||483 amsterdam ave.
1006|kuruma zushi|212-317-2802|
1007|||central park west
1008|asian||
1009|ukrainian||
1010|orleans|310/479-4187|
1011|||10001 riverside dr.
1012|thai||
1013|brasserie le coze|404-266-1440|
1014|mediterranean||
1015|||466 hudson st.
1016|palm|212-687-2953|
1017|||3130 piedmont rd. ne
1018|coffee bar||
1019|mexican||
1020|||7313 melrose ave.
1021|tavola calda|213/658-6340|
1022|chinese||
1023|||3347 fillmore st.
1024|continental||
1025|||411 third ave.
1026|teresa's|718-520-2910|
1027|||3434 peachtree rd. ne
1028|italian||
1029|alley's end|212/627-8899|
1030|sandwiches||
1031|||bldg. a fort mason
1032|italian||
1033|hyde street bistro|415/441-7778|
1034|||23 e. 74th st.
1035|mckinnon's louisiane|404/237-1313|
1036|southern/soul||
1037|la fonda latina|404-303-8201|
1038|||600 5th ave.
1039|american||
1040|katsu|213-665-1891|
1041|maykadeh|415/362-8286|
1042|||2150 broadway  between 75th and 76th sts.
1043|vietnamese||
1044|firehouse|212/595-3139|
1045|latin american||
1046|||3060 peachtree rd.
1047|soto|404-233-2005|
1048|only in las vegas||
1049|||6 w. 24th st.
1050|american||
1051|gianni's|212/608-7300|
1052|||19565 parthenia ave.
1053|middle eastern||
1054|||3172 peachtree rd. ne
1055|dottie's true blue cafe|415-885-2767|
1056|coffee bar||
1057|inca grill|212/966-3371|
1058|||6333 w. third st.
1059|italian||
1060|johnnie's pastrami|310-397-6654|
1061|chinese||
1062|||325 e. 14th st.  between 1st and 2nd aves.
1063|seafood||
1064|diners||
1065|||8393 w. beverly blvd.
1066|greek and middle eastern||
1067|steakhouses||
1068|martha's|310-376-7786|
1069|||2 w. 19th st.
1070|parioli romanissimo|212/288-2391|
1071|american||
1072|southern/soul||
1073|greek and middle eastern||
1074|steak house  the|702-734-0410|
1075|r-23|213-687-7178|
1076|||1423 2nd ave.  between 74th and 75th sts.
1077|republic|212/627-7172|
1078|||2nd fl.
1079|||200 e. fremont st.
