id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street
484|||1722 sacramento st.
486|cafe marimba|415/776-1506|
487|||69 w. 71st st.
491|||500 jackson st.
493|||860 2nd ave. at 46th st.
494|harbor village|415/781-8833|
495|||435 s. la cienega blvd.
496|vegetarian||
497|columbus bakery|212/421-0334|
500|kuleto's|415/397-7720|
501|||341 w. broadway  near grand st.
503|evergreen cafe|212/744-3266|
504|||298 gough st.
506|nuevo laredo cantina|404-352-9009|
507|patina|213-467-1108|
509|fraunces tavern|212/269-0144|
510|||10801 w. pico blvd.
512|brighton coffee shop|310-276-7732|
517|||3266 w. sixth st.
519|hollywood hills coffee shop|213-467-7678|
520|marichu|212/370-1866|
522|||3109 piedmont rd.  just south of peachtree rd.
524|city grill|404/524-2489|
526|la cachette|310-470-4992|
527|petrossian|212-245-2214|
529|||120 w. 23rd st.
530|odeon|212/233-0507|
531|||1415 e. colorado st.
532|noodle shops||
533|||100 e. 63rd st.
534|||1811 piedmont ave.  near cheshire bridge rd.
536|||201 moreno dr.
537|jack sprat's grill|310/837-6662|
539|union square cafe|212-243-4020|
540|planet hollywood|212/333-7827|
541|||2090 broadway
542|la caridad|212-874-2780|
543|||747 ninth ave.
546|pacific dining car|213/483-6000|
547|||1448 n. gower st.
549|buckhead diner|404-262-3336|
551|||39 w. 55th st.
552|||3393 peachtree rd.
553|palm too|212-697-5198|
555|the mandarin|310/859-0926|
556|||3835 cross creek rd.
558|||2317 chestnut st.
560|fog city diner|415/982-2000|
561|thai house cafe|212-334-1085|
562|ambassador grill|212/702-5014|
563|cajun/creole||
564|||4 embarcadero center
565|buffets||
566|il fornaio levi's plaza|415/986-0100|
567|||53rd sts.
568|duane park cafe|212/732-5555|
569|mi spia dunwoody rd.|770/393-1333|
570|lettuce souprise you (at)|770-418-9969|
571|||221 powell st.
573|l'orangerie|310-652-9770|
574|mccormick & kuleto's|415/929-1730|
575|||1288 1st ave. at 69th st.
577|first|212/674-3823|
579|||1495 chattahoochee ave. nw
580|thelma's kitchen|404-688-5855|
581|||54 pearl st. at broad st.
583|girafe|212/752-3054|
584|||9600 brighton way
585|don antonio's|310-209-1422|
587|dusit thai|415-826-4639|
588|indochine|212/505-5111|
589|||6145 franklin ave.
591|johnny reb's southern smokehouse|310-423-7327|
593|||342 e. 46th st.  between 1st and 2nd aves.
595|morton's|212/972-3315|
597|||50 hurt plaza
598|||10506 little santa monica blvd.
599|maxwell's cafe|310-306-7829|
601|shun lee palace|212-371-8844|
603|||145 w. broadway at thomas st.
604|patria|212/777-6211|
605|delicatessen||
606|||601 s. figueroa st.
608|rae's|310-828-7937|
609|tillerman  the|702-731-4036|
610|||140 w. 57th st.
611|roettelle a. g|212/674-4140|
612|||2199 broadway
613|||2880 las vegas blvd. s.
614|moustache|718-852-5555|
616|||3rd st.
617|roscoe's house of chicken 'n' waffles|213/466-9329|
619|mary mac's tea room|404-876-1800|
620|shaan|212/ 977-8400|
621|||840 second ave.
622|sushisay|212-755-1780|
623|||2637 peachtree rd. ne
626|||937 broadway at 22nd st.
627|adrienne|212/903-3918|
629|||1300 battery st.
630|chez michel|415-775-7036|
631|||151 hudson st.
632|||340 stockton st.
633|andre's french restaurant|702-385-5016|
634|||948 1st ave.  between 52nd and 53rd sts.
635|little szechuan|770/451-0192|
636|ben benson's|212/581-8888|
639|||1265 battery st.
641|le central|415/391-2233|
642|||157 duane st.  between w. broadway and hudson st.
643|piero's restaurant|702-369-2305|
644|||park place  across from perimeter mall  dunwoody
645|sato sushi and thai|770/449-0033|
646|||3525 mall blvd.
648|rainbow restaurant|404-633-3538|
649|||ghirardelli sq.
651|||87 1st ave.  between 5th and 6th sts.
652|frico bar|212/564-7272|
653|bistro|702/791-7111|
655|||764 marietta st. nw
656|caffe greco|415-397-6261|
659|||208 e. 58th st.  between 2nd and 3rd aves.
661|hudson river club|212/786-1500|
662|||1136 westwood blvd.
664|||3221 mission st.
665|la taqueria|415-285-7117|
666|||430 lafayette st.  between 4th st. and astor pl.
668|l'absinthe|212/794-4950|
669|||4663 long beach blvd.
671|langer's|213-483-8050|
672|||551 5th ave. at 45th st.
673|trio cafe|415-563-2248|
674|||13329 washington blvd.
677|parkway grill|818-795-1001|
678|||250 park ave. s at 20th st.
679|post house|212/935-2888|
680|rumpus|415/421-2300|
683|||2901 pico blvd.
684|fast food||
685|georgia grille|404-352-3517|
686|taiko|310-207-7782|
687|||126 e. 7th st.  between 1st ave. and ave. a
688|sarabeth's kitchen|212/496-6280|
689|||405 atlantic ave.
690|||1 margaret mitchell sq.
692|||60 n. venice blvd.
694|alain rondelli|415-387-0408|
695|||57 w. 48th st.
696|tapika|212/ 397-3737|
697|||38 e. 51st st.
698|||41 14th st.
699|westside cottage|212-245-0800|
701|||200-250 vesey st. world financial center
703|arizona|212/838-0440|
705|||12969 ventura blvd.
706|||545 post st.
707|mifune|415-922-0337|
708|||401 s. 6th st.
710|michael's (las vegas)|702-737-7111|
711|||c buford hwy.  northwoods plaza  doraville
712|pleasant peasant|404/874-3223|
715|bruno|212/688-4190|
716|||103 waverly pl.  near washington sq.
718|||453 bush st.
720|||355 convention center dr.
722|baker's cajun cafe|404-223-5039|
723|||6050 peachtree pkwy.  norcross
724|bally's big kitchen|702/739-4111|
725|||2118 n. decatur rd.
728|||402 w. 43rd st.  off 9th ave.
731|circus circus|702/734-0410|
732|||423 columbus ave.
733|eric's chinese restaurant|415-282-0919|
735|||4 world financial center
737|fenix at the argyle|213-848-6677|
738|jean lafitte|212/751-2323|
739|||2889 mission st.
740|san francisco bbq|415-431-8956|
741|greek and middle eastern||
742|||227 e. 67th st.
744|le chantilly|212/751-2931|
745|||704 s. alvarado st.
747|||1870 fillmore st.
748|pane e vino|415/346-2111|
750|main street|212/873-5025|
751|||510 s. arroyo pkwy.
753|russell's burgers|310-596-9556|
754|||28 e. 63rd st.
755|||1 tillman pl.
756|straits cafe|415/668-1783|
758|||11677 san vicente blvd.
760|||423 amsterdam ave.  between 80th and 81st sts.
761|stage deli|212/245-7850|
765|||8638 w. third st.
766|||2316 polk st.
767|||950 8th ave. at 56th st.
769|trois jean|212/988-4858|
770|hawthorne lane|415-777-9779|
771|||689 ninth ave.
773|cafe des artistes|212-877-3500|
775|||1393a 2nd ave.  between 72nd and 73rd sts.
776|boca chica|212/473-0108|
778|||201 w. 83rd st.
779|zoe|212/966-6722|
781|bistro garden|310/550-3900|
782|||3rd st. promenade
783|||3595 las vegas blvd. s.
785|stefano's|702-385-7111|
786|||555 peachtree st.  at linden ave.
788|||33 w. 55th st.
789|||1134 euclid ave.
790|dive!|310/788-|
792|carey's|770-422-8042|
793|||3645 las vegas blvd. s
794|cafe michelle|702/735-8686|
797|bel-air hotel|310-472-1211|
799|java jive|404-876-6161|
800|||2880 las vegas blvd. s
801|mary's diner|702/454-8073|
802|||1500 church st.
804|||68 w. 58th st.
806|l'udo|212/388-0978|
807|bix|415/433-6300|
808|||1328 18th st.
809|cafe fes|212/924-7653|
810|wa-ha-ka oaxaca mexican grill|415-775-1055|
811|||
812|||106 e. 57th st.
814|les halles|212/679-4111|
815|southwestern||
816|chiam|212/371-2323|
817|||3011 steiner st.
819|south park cafe|415/495-7275|
820|||446 columbus ave.  between 81st and 82nd sts.
822|||1198 pch
824|||9560 dayton way
826|||3300 geary blvd.
827|vivande ristorante|415/673-9245|
830|||834 7th ave.  between 53rd and 54th sts.
832|the coffee pot|212/265-3566|
833|benita's frites|310-458-2889|
834|yujean kang's|818-585-0855|
836|chicken||
837|||3115 pico blvd.
838|||154 e. 79th st.  between lexington and 3rd aves.
840|ritz-carlton dining room (san francisco)|415-296-7465|
841|vong|212/486-9592|
842|||2930 beverly glen circle
843|french bistro||
844|gotham bar & grill|212-620-4020|
845|||99 e. 52nd st.
846|||129 fremont st.
847|||90 prince st.  between broadway and mercer st.
849|||310 n. larchmont blvd.
850|bistango|404/724-0901|
851|cava|213/658-8898|
853|bobby & june's kountry kitchen|404-876-3872|
854|mi cocina|212-627-8273|
856|||102 fifth ave.
857|cafe con leche|212-595-7000|
858|||1021 cobb pkwy. se
859|||2020 ave. of the stars
860|hsu's gourmet|404/659-2788|
861|gladstone's|310/454-3474|
863|greenwood's|770-992-5383|
864|||1350 e. flamingo rd.
865|golden nugget hotel|702/385-7111|
867|john's pizzeria|212-721-7001|
868|nate 'n' al's|310/274-0101|
869|||790 ponce de leon ave.
870|polish||
871|||5111 w. boulder hwy.
872|2223|415/431-0692|
874|cafe botanica|212/484-5120|
876|||432 lafayette st.  near astor pl.
877|||56 gold st.
879|||246 w. 4th st. at charles st.
880|chevys|415/543-8060|
881|||2141 polk st.
882|spanish||
883|capsouto freres|212/966-4900|
885|||411 park ave. s  between 28th and 29th sts.
887|||160 e. 48th st.
888|helmand|415/362-0641|
889|||624 s. la brea ave.
891|dean & deluca|212/254-8776|
892|||108 south park
893|the heights|415/474-8890|
896|fifty seven fifty seven|212/758-5757|
897|||670 golden gate ave.
901|||350 9th ave. at 49th st.
902|||1433 third st. promenade
903|cafe blanc|310-888-0108|
904|chanterelle|212-966-6960|
908|||200 e. 54th st.
910|annie's thai castle|404/264-9546|
911|||700 w. fifth st.
913|jody maroni's sausage kingdom|310-306-1995|
914|lespinasse (new york city)|212-339-6719|
915|mavalli palace|212/679-5535|
917|||155 w. 58th st.
918|water grill|213-891-0900|
919|||375 14th st.
920|||1100 peachtree st.
922|||134 n. la cienega
923|dante's down the hatch|404/577-1800|
924|dynasty room|310/208-8765|
925|river cafe|718-522-5200|
926|||424 amsterdam ave.
927|pacifica|212/941-4168|
929|||30 rockefeller plaza
930|good enough to eat|212-496-0163|
931|||192 peachtree center ave.  at international blvd.
933|||4500 los feliz blvd.
934|le colonial|310/289-0660|
935|||1087 green st.
938|le montrachet bistro|702-732-5651|
940|||48 w. 65th st.
941|||3799 las vegas blvd. s.
942|marnie's noodle shop|212-741-3214|
944|prego|310/277-7346|
947|||2223 market st.
949|cafe adriano|415/474-4180|
950|||160 central park s
952|sam's noodle shop|212-213-2288|
955|||4th and howard sts.
957|greens|415/771-6222|
958|||451 washington st.  near watts st.
959|coco pazzo|212/794-0205|
961|||430 broadway
963|katia's|415/668-9292|
964|||121 prince st.
966|ernie's|212/496-1588|
967|||3235 sacramento st.
969|nava|404-240-1984|
970|palm  the (los angeles)|310-550-8811|
971|||57 e. 57th st.
973|follonico|212/691-6359|
974|brent's deli|818-886-5679|
977|white house restaurant|404-237-7601|
978|mexican/tex-mex||
980|||9777 little santa monica blvd.
981|russian||
982|gumbo pot  the|213-933-0358|
984|manila garden|212/777-6314|
986|||3195 roswell rd.
989|||2011 ocean front walk
990|park avenue cafe (new york city)|212-644-1900|
991|koo koo roo|213-655-9045|
993|||46 e. 29th st.
994|newsbar|212/255-3996|
995|||544 s. grand ave.
996|desserts||
997|||55 e. 54th st.
998|||underground underground mall  underground atlanta
1000|||439 n. beverly drive
1001|uncle nick's|212-245-7992|
1003|||138 lafayette st.  between canal and howard sts.
1004|persepolis|212/535-1100|
1005|||483 amsterdam ave.
1006|kuruma zushi|212-317-2802|
1007|||central park west
1009|ukrainian||
1010|orleans|310/479-4187|
1011|||10001 riverside dr.
1013|brasserie le coze|404-266-1440|
1015|||466 hudson st.
1016|palm|212-687-2953|
1017|||3130 piedmont rd. ne
1020|||7313 melrose ave.
1021|tavola calda|213/658-6340|
1023|||3347 fillmore st.
1025|||411 third ave.
1026|teresa's|718-520-2910|
1027|||3434 peachtree rd. ne
1029|alley's end|212/627-8899|
1030|sandwiches||
1031|||bldg. a fort mason
1033|hyde street bistro|415/441-7778|
1034|||23 e. 74th st.
1035|mckinnon's louisiane|404/237-1313|
1037|la fonda latina|404-303-8201|
1038|||600 5th ave.
1040|katsu|213-665-1891|
1041|maykadeh|415/362-8286|
1042|||2150 broadway  between 75th and 76th sts.
1044|firehouse|212/595-3139|
1046|||3060 peachtree rd.
1047|soto|404-233-2005|
1048|only in las vegas||
1049|||6 w. 24th st.
1051|gianni's|212/608-7300|
1052|||19565 parthenia ave.
1054|||3172 peachtree rd. ne
1055|dottie's true blue cafe|415-885-2767|
1057|inca grill|212/966-3371|
1058|||6333 w. third st.
1060|johnnie's pastrami|310-397-6654|
1062|||325 e. 14th st.  between 1st and 2nd aves.
1065|||8393 w. beverly blvd.
1068|martha's|310-376-7786|
1069|||2 w. 19th st.
1070|parioli romanissimo|212/288-2391|
1074|steak house  the|702-734-0410|
1075|r-23|213-687-7178|
1076|||1423 2nd ave.  between 74th and 75th sts.
1077|republic|212/627-7172|
1078|||2nd fl.
1079|||200 e. fremont st.
1081|||3110 main st.
1082|restaurant horikawa|213/680-9355|
1084|la grotta|404-231-1368|
1086|sfuzzi|212/873-3700|
1087|||837 second ave.
1088|||1397 n. highland ave.
1089|stick to your ribs|718-937-3030|
1090|and 212/614-9345 asian||
1092|||322 e. 14 st.  between 1st and 2nd aves.
1093|9 jones street|212/989-1220|
1095|campton place|415-955-5555|
1096|||80 montague st.
1097|||7 claude ln.
1098|zarela|212-644-6740|
1099|||228 8th ave.  between 21st and 22nd sts.
1100|la grotta at ravinia dunwoody rd.|770/395-9925|
1102|barbetta|212/246-9171|
1104|||1521 hyde st.
1106|l'osteria del forno|415/982-1124|
1108|nicky blair's|702-792-9900|
1109|||3209 maple dr.
1110|sa tsu ki|404/325-5285|
1111|||4427 roswell rd.
1112|cafe bianco|212/988-2655|
1114|||470 green st.
1116|||522 columbus ave.  between 85th and 86th sts.
1117|french roast cafe|212/799-1533|
1118|binion's coffee shop|702/382-1600|
1119|||3330 piedmont rd.
1120|cafe flore|415-621-8579|
1123|||15 fulton st.
1125|home|212/243-9579|
1127|||522 jones st.
1128|la mediterranee|415-431-7210|
1129|||492 broome st.  near w. broadway
1131|judson grill|212/582-5252|
1132|||4017 s. sepulveda blvd.
1134|la serenata de garibaldi|213-265-2887|
1135|ti couz|415-252-7373|
1136|le madri|212/727-8022|
1137|||22nd street grill 25 22nd
1140|original pantry bakery|213-627-6879|
1141|||24 e. 81st st.
1142|popover cafe|212/595-8555|
1143|rubicon|415/434-4100|
1145|||923 e. third st.
1147|delectables|404-681-2909|
1148|sweet lady jane|213-653-7145|
1149|||37a union sq. w  between 16th and 17th sts.
1150|sant ambroeus|212/570-2211|
1151|nuova cucina italian||
1153|||1930 north hillhurst ave.
1154|veni vidi vici|404-875-8424|
1155|||58 w. 65th st.
1156|tang pavillion|212/956-6888|
1157|||5-16 51st ave.
1158|||293-b peachtree rd.
1159|veselka|212-228-9682|
1161|||106 w. houston st.  off thompson st.
1162|anche vivolo|212/308-0112|
1164|||1001 n. alameda st.
1165|||3127 fillmore st.
1166|veniero's pasticceria|212/674-7264|
1167|masa's|415-989-7154|
1168|||953 second ave.
1170|mayflower cuisinier|702-870-8432|
1171|||holiday inn/crowne plaza at ravinia  dunwoody
1172|tex-mex||
1174|palisades|404/350-6755|
1175|brothers bar-b-q|212/727-2775|
1176|||25 w. 40th st.  between 5th and 6th aves.
1178|||519 columbus ave.
1179|ca'del sol|818/985-4669|
1180|||3925 paradise rd.
1182|alon's at the terrace|404-724-0444|
1183|||3043 buford hwy.
1184|antonio's|702/252-7737|
1187|||2340 broadway at 85th st.
1188|deacon burton's soulfood restaurant|404-523-1929|
1189|||128 fremont st.
1190|center stage plaza hotel|702/386-2512|
1191|||2298 market st.
1192|emerald garden restaurant|415-673-1155|
1194|||20 cornelia st.  between bleecker and w. 4th st.
1196|citrus|213-857-0034|
1197|ipanema|212/730-5848|
1198|art's deli|818-762-1221|
1199|the bacchanal|702/731-7525|
1200|||288 noe st.
1201|sally's cafe & bakery|415-626-6006|
1203|||152 w. 52nd st.
1205|layla|212/431-0700|
1206|||1842 e. first
1207|||3108 16th st.
1208|caffe reggio|212/475-9557|
1209|palio d'asti|415/395-9800|
1210|||168 w. 18th st.
1212|mad fish|212/787-0202|
1213|||875 s. figueroa st. downtown
1215|ruby's (la)|818-796-7829|
1216|||551 amsterdam ave.  between 86th and 87th sts.
1217|||558 sacramento st.
1218|stoyanof's cafe|415/664-3664|
1220|||8360 melrose ave.
1222|||1000 madison ave.  between 77th and 78th sts.
1223|spring street natural restaurant & bar|212/966-0290|
1224|yaya cuisine|415/566-6966|
1228|||8284 melrose ave.
1229|||5937 geary blvd.
1230|||65 w. 55th st.
1232|tribeca grill|212/941-3900|
1233|fringale|415-543-0573|
1234|||144 second ave.
1235|cafe lalo|212-496-6031|
1237|||23 e. 22nd st.
1239|||34 e. 61st st.
1240|zen palate|212/614-9291|
1241|||342 e. 11th st.  near 1st ave.
1243|beaurivage|310/456-5733|
1244|||4th st.
1245|||4750 w. sahara ave.
1246|greek||
1247|steakhouse  the|702-382-1600|
