D1|D2
152|6546
1091|290
4428|5945
4798|3907
492|4953
4141|5189
1432|2716
3988|1513
4071|2819
1317|4072
2682|1376
2606|7685
1489|42
3993|1105
1996|969
2002|6621
546|4589
896|115
3701|4872
302|6412
4614|6911
3721|7314
4860|6988
1147|3864
4596|226
3755|2452
2799|1931
4415|2969
1003|7638
3573|3230
2734|3238
162|1684
69|1213
1092|2327
4135|3713
1712|6167
5086|2602
1851|2822
2101|6646
3535|2321
667|6888
932|5376
139|5660
3453|932
2125|570
1488|2247
3726|2855
4276|6360
2968|236
1696|3419
1865|5775
2743|2532
2712|5108
2801|1817
1686|2213
3995|3075
114|7762
4199|2525
734|7508
2602|4013
2274|4615
2547|6540
168|7387
589|7262
5090|2328
1065|2580
2498|378
686|3319
3164|2451
4890|2561
487|5508
4029|6438
3351|1283
1701|3065
1129|3434
4099|2683
4028|6527
2730|7776
3951|6784
1253|3390
3939|1634
369|5087
898|98
3841|7728
3901|700
2353|167
1459|647
1592|3947
4349|2447
4637|1071
4898|6031
1984|2136
3061|6946
2771|308
183|4169
4|6738
