id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes
234||Helen Van Tuyl|||1964-01-01|1892-01-01||||actress|
235|Zashchitnik Sedov|||||||1988-01-01|Drama,Short||42
236||Anne Howard Bailey|||2006-01-01|1924-01-01||||writer,miscellaneous|
237||Susan Shipton||||1958-01-01||||editor,editorial_department,sound_department|
238||Cristin Milioti||||1985-01-01||||actress,writer,producer|
239||Adrian Bailey||||||||actor|
240|The Preliminaries||22|8||||1961-01-01|Drama||30
241|A Doll's Eyes||6|4||||1995-01-01|Crime,Drama,Mystery||
242|Joby||23|1||||1963-01-01|Drama,Sport,Western||
243||James Flavin|||1976-01-01|1906-01-01||||actor,soundtrack|
244||Chuck Conry||||1983-01-01||||writer,director,actor|
245||Norbert Brodine|||1970-01-01|1896-01-01||||cinematographer,camera_department,miscellaneous|
246||Diane Baker||||1938-01-01||||actress,producer,production_manager|
247|Fix It Mum and Dad||43|1||||2017-01-01|Animation,Comedy,Family||
248|For Better or for Worse||2|6||||1958-01-01|Drama||30
249|Flesh Hunter 8|||||||2005-01-01|Adult||240
250||Michael S. Chernuchin||||1954-01-01||||producer,writer,miscellaneous|
251||Nicholas Colasanto|||1985-01-01|1924-01-01||||actor,director,soundtrack|
252||Warren Oates|||1982-01-01|1928-01-01||||actor,soundtrack,music_department|
253||Helen Garnell||||||||writer|
254||Evelyn Eaton|||1964-01-01|1924-01-01||||actress|
255|The Velvet Trap||16|3||||1962-01-01|Adventure||48
256||Vijayshanti||||1966-01-01||||actress|
257||Lev Durov|||2015-01-01|1931-01-01||||actor,director,soundtrack|
258||James Pritchett|||2011-01-01|1922-01-01||||actor,soundtrack|
259||Sanae Kobayashi||||1980-01-01||||actress,soundtrack|
260||Elva Mai Hoover||||||||actress|
261||J. Sean Elliott||||||||actor|
262|End Game||14|3||||1995-01-01|Crime,Drama,Mystery||
263||Gordon Barnes||||||||actor|
264||Harry Lauter|||1990-01-01|1914-01-01||||actor|
265||Miklos Perlus||||1977-01-01||||actor,miscellaneous,producer|
266|Chapter 38||12|3||||2015-01-01|Drama||49
267|Barbecue||11|1||||1960-01-01|Adventure,Drama,Family||30
268|Isaac Newton||2|1||||2003-01-01|Biography,Comedy,Documentary||
269||Lloyd Rose||||||||writer|
270||Josh Grelle||||1985-01-01||||actor,writer,miscellaneous|
271|Chapter 29||3|3||||2015-01-01|Drama||53
272||Hannu Kahakorpi||||1946-01-01||||producer,actor,director|
273||Pierre Cendors||||||||writer|
274|Alien Love||12|7||||1959-01-01|Drama||30
275||Kip Walton||||||||music_department,director,producer|
276||Nicholas Day||||||||actor|
277||Gerd Baltus|||2019-01-01|1932-01-01||||actor,soundtrack,director|
278|Treffpunkt Wien||4|2||||1964-01-01|Drama||58
279||Viet Thanh Pham||||||||cinematographer|
280||Henry S. Quan||||||||actor|
281||Dick Clark|||2012-01-01|1929-01-01||||producer,actor,miscellaneous|
282||Jeff Beal||||1963-01-01||||composer,music_department,soundtrack|
283||Becky Martin||||||||director,producer,location_management|
284|The One That Got Away||7|1||||1953-01-01|Drama||30
285||Sajeev Pazhoor||||1974-01-01||||writer,actor|
286|Fight Night||2|1||||1962-01-01|Drama,Sport,Western||60
287|The Mystery of Matter: Search for the Elements||||||2015-01-01|2015-01-01|Biography,Documentary,History||60
288|?Viva los muertos!||11|2||||2006-01-01|Action,Adventure,Animation||22
289||Barun Raha||||||||cinematographer,camera_department|
290||Randall Anderson||||||||writer|
291||Reinhard Glemnitz||||1930-01-01||||actor,miscellaneous|
292||Paul Attanasio||||1959-01-01||||writer,producer|
293|Faith, Hope and Mr. Flaherty||27|7||||1960-01-01|Drama||
294|The Floating Fortune||17|1||||1962-01-01|Adventure||
295|The Reluctant Hero||2|3||||1961-01-01|Adventure||60
296||Esther McCoy||||||||writer|
297||Elfie Tillack||||||||editor,assistant_director,camera_department|
298||Juarez Roberts||||||||writer|
299||Roberto Rossellini||||||||actor|
300||Milcho Leviev|||2019-01-01|1937-01-01||||composer,music_department|
301||Ren|||||||||
302||Richard Alan Simmons|||2004-01-01|1924-01-01||||writer,producer|
303||Charles Mintz|||1939-01-01|1889-01-01||||producer|
304||Jadranka Matkovic||||1951-01-01||||actress|
305||Berry Kroeger|||1991-01-01|1912-01-01||||actor|
306|A Ticket for May||18|3||||1956-01-01|Drama||30
307||Ed Wittstein|||2011-01-01|1929-01-01||||production_designer,art_department,art_director|
308||Paul Micale|||1999-01-01|1916-01-01||||actor|
309||Jean Bolvary||||||||producer,writer,director|
310|Pob's Programme||||||1990-01-01|1985-01-01|Family,Fantasy||30
311||Chuck Copeland||||||||producer|
312|One Way Ticket||10|3||||1961-01-01|Adventure||60
313||Herbert Reinecker|||2007-01-01|1914-01-01||||writer|
314||Lionello Santi|||1995-01-01|1918-01-01||||producer,miscellaneous|
315||Carlo Siliotto||||1950-01-01||||composer,music_department,soundtrack|
316||Lynette Eads|||||||||
317||Jeff Morrow|||1993-01-01|1907-01-01||||actor,soundtrack|
318||Pekka Lehto||||1948-01-01||||director,writer,sound_department|
319|The Girl Who Knew||18|2||||1955-01-01|Drama||30
320||Agn?s Guillemot|||2005-01-01|1931-01-01||||editor,miscellaneous|
321||Chris Grega||||||||actor,director,writer|
322||Jayne Atkinson||||1959-01-01||||actress,producer|
323|Obyknovennaya istoriya|||||||1970-01-01|Drama,Romance||136
324|Tambu||13|1||||1962-01-01|Adventure||
325||Edward Barbini||||||||producer,director,writer|
326||Dwayne Hickman||||1934-01-01||||actor,soundtrack,director|
327||Doug Wolven||||||||miscellaneous|
328||William W. Spencer|||2007-01-01|1921-01-01||||cinematographer,camera_department|
329|Harbormaster||||||1958-01-01|1957-01-01|Adventure||30
330||Sidney Morse|||2003-01-01|1920-01-01||||writer,miscellaneous,producer|
331||Ken Renard|||1993-01-01|1905-01-01||||actor|
332||John Kemeny|||2012-01-01|1925-01-01||||producer,editor,director|
333||Jun Mizuki||||1973-01-01||||actress|
334||Rachel Ward||||1957-01-01||||actress,director,writer|
335|South American Uncle||27|5||||1958-01-01|Drama||30
336||D?bora Duarte||||1950-01-01||||actress|
337||Steve Radenbaugh||||||||actor,transportation_department|
338||Harry Townes|||2001-01-01|1914-01-01||||actor|
339||Kevin Arkadie||||1957-01-01||||writer,producer,miscellaneous|
340|Chapter 11||11|1||||2013-01-01|Drama||55
341|Nightmare in the Sun||35|2||||1961-01-01|Adventure||60
342||Leona Hirota||||1963-01-01||||actress,director|
343||Mark Chapman||||1955-01-01||||actor|
344||Charlotte Stewart||||1941-01-01||||actress|
345|CIA: Crime Investigation Australia||||||2009-01-01|2005-01-01|Crime,Documentary||60
346|So Very Attractive||7|3||||1999-01-01|Animation,Comedy,Fantasy||21
347|The Thievingest Dog||1|1||||1957-01-01|Adventure||30
348||Harry Miles Muheim|||2003-01-01|1920-01-01||||writer,producer|
349||Veda Ann Borg|||1973-01-01|1915-01-01||||actress,soundtrack|
350||Don Pedro Colley|||2017-01-01|1938-01-01||||actor,director,producer|
351||George Bellak|||2002-01-01|1919-01-01||||writer,actor,producer|
352||Nico Minardos|||2011-01-01|1930-01-01||||actor,producer|
353||Betsy Paul||||||||actress|
354||Brad Anderson||||1964-01-01||||director,producer,writer|
355|The Faith of Chata||13|1||||1953-01-01|Drama||30
356||Robert Doyle|||2000-01-01|1938-01-01||||actor|
357||Hans Conried|||1982-01-01|1917-01-01||||actor,soundtrack,miscellaneous|
358||Diane Taylor|||2016-01-01|||||writer,producer,miscellaneous|
359||Charles Oestreicher||||||||editor,editorial_department|
360||John Close|||1963-01-01|1921-01-01||||actor,soundtrack|
361||Ben Batt||||1986-01-01||||actor|
362||Ralph Clanton|||2002-01-01|1914-01-01||||actor|
363||Steve Toussaint||||1965-01-01||||actor,writer|
364||Ross Davidson|||2006-01-01|1949-01-01||||actor|
365||Dorothy Green|||2008-01-01|1920-01-01||||actress|
366||Tamar Cooper||||1930-01-01||||actress|
367||Nathan Fillion||||1971-01-01||||actor,producer,soundtrack|
368||Alex Zakrzewski||||||||director,cinematographer,camera_department|
369||Ben Edlund||||1968-01-01||||producer,writer,animation_department|
370||Rodney McMahon||||||||actor|
371||Elizabeth Winter||||||||editor,producer,writer|
372||Chantal Jackson||||||||writer,producer,miscellaneous|
373|Sniper: Part 1||8|4||||1996-01-01|Crime,Drama,Mystery||
374||Ed Canler|||||||||
375||Chiemi Chiba||||1975-01-01||||actress|
376||Frank R. Roach||||||||actor|
377||Walter 'PeeWee' Flannery||||||||actor|
378||David Coujard||||||||producer,production_manager|
379|Gackt Live Tour 2000: Mars sora kara no houmonsha/Visitor from the Sky - La r?miniscence|||||||2000-01-01|Documentary,Music||84
380|Somebody Else's Dream||15|4||||1956-01-01|Drama||30
381||Alon Hamawi||||||||actor|
382||Richard Arlen|||1976-01-01|1899-01-01||||actor,soundtrack|
383||John Agar|||2002-01-01|1921-01-01||||actor,music_department|
384||Angel Chiang||||1989-01-01||||actress|
385||Yaniv Swissa||||1977-01-01||||actor|
386||Margit Saad||||1929-01-01||||actress,director,soundtrack|
387||Molly Parker||||1972-01-01||||actress,soundtrack,producer|
388||Bianca Kronl?f||||1985-01-01||||actress,writer|
389||Ernest F. Miller||||||||writer|
390|Nearer My God to Thee||1|3||||1994-01-01|Crime,Drama,Mystery||
391||Anna Lee|||2004-01-01|1913-01-01||||actress,soundtrack|
392|Game Over||1|2||||1994-01-01|Animation,Comedy,Fantasy||21
393|Survival||15|1||||1958-01-01|Adventure||30
394||Patricia Donahue|||2012-01-01|1925-01-01||||actress,miscellaneous|
395||Keith Drinkel||||1944-01-01||||actor|
396||Raymond Guth||||1924-01-01||||actor,miscellaneous|
397||Ben Johnson|||1996-01-01|1918-01-01||||actor,stunts,miscellaneous|
398||Steve Fisher|||1980-01-01|1912-01-01||||writer,producer|
399||Arthur Storch|||2013-01-01|1925-01-01||||actor,director|
400||William Phipps|||2018-01-01|1922-01-01||||actor,producer|
401||Carleton Carpenter||||1926-01-01||||actor,soundtrack,music_department|
402|My Own Master||13|8||||1960-01-01|Drama||30
403||Ernest R. Dickerson||||1951-01-01||||director,cinematographer,camera_department|
404||Art Wallace||||||||writer,producer,miscellaneous|
405||Peter Medak||||1937-01-01||||director,producer,assistant_director|
406||Ray Danton|||1992-01-01|1931-01-01||||actor,director,producer|
407||Mike Post||||1944-01-01||||composer,music_department,soundtrack|
408||Isao Tomita|||2016-01-01|1932-01-01||||composer,music_department,soundtrack|
409||James Philbrook|||1982-01-01|1924-01-01||||actor|
410||Royal Dano|||1994-01-01|1922-01-01||||actor,soundtrack|
411|Mushroom Farmer||7|2||||2006-01-01|Reality-TV||43
412||Dan Eggiman||||||||camera_department,miscellaneous,producer|
413||Eugene Iglesias||||1926-01-01||||actor,soundtrack|
414|Shades of Gray||10|7||||1999-01-01|Crime,Drama,Mystery||
415||Jos? Basseti||||||||actor|
416||Linda Cunningham||||||||actress|
417||Nick De Ruiz|||1959-01-01|1871-01-01||||actor|
418||Gloria G?mez||||||||actress|
419|Little League||4|4||||1956-01-01|Drama||30
420||John Trayne|||2004-01-01|1918-01-01||||actor,writer|
421|The Tramp||6|2||||1961-01-01|Adventure,Drama,Family||30
422||James Drury|||2020-01-01|1934-01-01||||actor|
423||Tatsuya Oishi||||||||director,art_department,production_manager|
424||Jerry Hausner|||1993-01-01|1909-01-01||||actor,miscellaneous,writer|
425||Dewey Martin|||2018-01-01|1923-01-01||||actor|
426||Takahiro Sakurai||||1974-01-01||||actor,soundtrack,producer|
427||Azadeh Moussavi||||||||director,writer,producer|
428||Anna Karina|||2019-01-01|1940-01-01||||actress,soundtrack,writer|
429|Jag har ju inga medel att vara en normal pappa just nu||4|1||||2018-01-01|Reality-TV||
430||Raoul Coutard|||2016-01-01|1924-01-01||||cinematographer,director,actor|
431|Lines of Fire||20|7||||1999-01-01|Crime,Drama,Mystery||
432||John Shook|||||||||
433||Graeme MacDonald|||1997-01-01|1930-01-01||||producer,director|
434||Damon D'Oliveira||||1964-01-01||||actor,producer,camera_department|
435||Anthony Aston||||||||writer|
436||Ben Foster||||||||music_department,composer,soundtrack|
437||Warren Lee||||||||actor|
438|The Feud||20|2||||1962-01-01|Adventure,Drama,Family||30
439||Brad Hall||||1958-01-01||||writer,producer,actor|
440||John Clarke|||2019-01-01|1931-01-01||||actor|
441||Robert Emhardt|||1994-01-01|1914-01-01||||actor,soundtrack|
442||R. Wright Campbell|||2000-01-01|1927-01-01||||writer,actor|
443||Mariana Ximenes||||1981-01-01||||actress,producer,soundtrack|
444||Barbara Bain||||1931-01-01||||actress,soundtrack|
445||S?suke Takaoka||||1982-01-01||||actor|
446|Most Honorable Day||12|6||||1958-01-01|Drama||30
447||Olivia Stambouliah||||1982-01-01||||actress|
448||Andrew Brooke||||||||actor,producer,writer|
449||Dennis Castle|||1993-01-01|1914-01-01||||actor,writer,script_department|
450||Richard Ney|||2004-01-01|1916-01-01||||actor,soundtrack|
451||Hannes Schindler||||||||cinematographer,camera_department|
452||Carmen Austin||||||||actress|
