id|title|modelno|price|shipweight|brand|dimensions
53|Da-Lite Da-Plex Base Rear Projection Screen - 57 3 4 x 77 Video Format|27528|2608.99|237.0|Da-Lite|
54|Canon imageFORMULA DR-2010C Compact Color Scanner|DR-2010C|479.98|8.5|Canon|15.0 x 11.5 x 10.25 inches
55|Dreamgear i.Sound Stand for iPad|DGIPAD-4541|56.09|1.2|Dreamgear|13.0 x 6.1 x 2.0 inches
56|EDGE Tech ProShot 4GB SDHC Class 6 Memory Card|PE209780|10.88|0.05|Edge Tech|1.25 x 0.94 x 0.08 inches
57|Vantec NexStar SE 2.5  SATA Hard Drive Rack|MRK-515ST|10.74|1.5|Vantec|7.0 x 6.0 x 2.0 inches
58|Sennheiser SH 350 IP Binaural Headset with Noise Canceling Microphone|SH350IP|150.0|0.6|Sennheiser|7.0 x 6.4 x 2.4 inches
59|Samsung TL205 Refurbished 12.2MP Black Digital Camera 6.3-18.9mm f 3.2 3x Zoom Lens 2.7  Dual LCD VGA Movie Recording w 50 Bonus Prints|RBTL205|79.0|0.8|Samsung|3.75 x 2.13 x 0.83 inches
60|Draper M2500 Clarion Fixed Frame Screen - 124 x 124 diagonal AV Format|252031|1883.99|82.0|Draper|
61|Kensington 82024 Memory Foam Seat Backrests|82024|29.88|2.64|Kensington|14.4 x 14.4 x 1.8 inches
62|BlackBerry Leather Sleeve for PlayBook Tablet Black|ACC-39311-301|29.88|0.9|BLACKBERRY|7.6 x 5.1 x 0.4 inches
63|Arclyte MobileStyle Mini USB Car Charger Jet Black Electric Blue|Arclyte ERA02142|25.0|0.25|Arclyte|3.25 x 0.87 x 0.87 inches
64|Los Angeles Lakers iPhone 3G Duo Case|FVA4005|24.99||Tribeca|
65|Epson T020201 Color Ink Cartridge|T020201|27.0|0.2|Epson|4.06 x 3.9 x 1.34 inches
66|Q-See Professional Indoor Dome Camera QSD360|QSD360|99.82|1.6|Q-See|5.5 x 5.5 x 4.0 inches
67|Microsoft VX-5000 LifeCam Webcam Red|RKA00014|27.82|1.4|Microsoft|8.0 x 7.0 x 3.0 inches
68|Xerox Travel Scanner 100 Scanner|Xerox Travel Scanner 100|188.82|1.65|Visioneer|11.4 x 2.0 x 1.5 inches
69|Lorex Simulated Bullet Style Surveillance Camera|SG-610|12.84|1.24|Lorex|3.8 x 3.8 x 3.8 inches
70|Panasonic Stereo Earbud Headphones RP-HV21 Green|RPHV21G|10.49|0.88|Panasonic|
71|Canon FaxPhone L170 Laser Printer   Fax|L170|269.0|31.3|Canon|22.0 x 19.3 x 18.7 inches
72|Kensington K62816US Memory Foam Mouse Wrist Pillow|K62816US|13.98|0.85|Kensington|9.0 x 7.92 x 0.99 inches
73|HP CE250A Black Toner Cartridge|CE250A|187.04|3.84|HP|
74|Cables To Go Digital Audio Explorer Toslink Selector Switch|28734|24.88|0.68|Cables To Go|6.52 x 6.52 x 1.8 inches
75|EDGE 2GB PC3-8500 DDR3 204-Pin SODIMM Notebook Memory Module|PE219413|22.92|0.25|EDGE|9.0 x 6.0 x 3.0 inches
76|Draper M2500 Premier Electric Screen  - AV Format 7 x 9|101198|1793.45|86.0|Draper|
77|Draper Matte White Ultimate Access Series E Electric Screen - NTSC 150 diagonal|119018|2443.45|152.0|Draper|
78|Case Logic 18  Laptop Case|147735|39.99|2.24|Case Logic|19.3 x 14.2 x 3.9 inches
79|Sharpie Fine Point Permanent Markers Assorted 5ct|30653PP|8.19|0.99|Sharpie|7.62 x 4.75 x 4.2 inches
80|Vaultz Lock Mobile File Chest Storage Box Letter Legal Black|VZ01270|59.94|11.754|Vaultz|
81|Innovera Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack|99650|11.7|2.01|INNOVERA|
82|Pelican Storm Shipping Case without Foam 9.8 x 11.8 x 4.7|iM2050NF BLACK|40.99|4.0|Pelican Storm|11.8 x 9.8 x 4.7 inches
83|Scosche Full Range Speaker System with Two 6.5  Woofers|HDFRB6|0.0||Scosche|24.0 x 9.0 x 7.0 inches
84|Sony 4GB Flash Memory Card Black|SF4N4/TQ|10.88|0.7|Sony|6.1 x 4.92 x 0.35 inches
85|Sony 2GB MS Pro Duo Mark2|MSMT2G/TQ|14.88|1.0|Sony|6.1 x 4.9 x 0.4 inches
86|Samsung 33-0525-05 Samsung Fasciante i500 OEM Multimedia Dock|33-0525-05|29.88|0.4|Samsung|6.25 x 3.9 x 2.75 inches
87|VIZIO 37  Class LCD 1080p 120Hz HDTV E371VA Refurbished|E371VA|379.0|42.11|Vizio|35.41 x 24.3 x 8.76 inches
88|BALT Wheasel Easel Adjustable Melamine Dry Erase Board White|33250|239.88|51.0|Balt|
89|Targus 15.6  A7 Slipcase Orange|TSS10805US|29.99|11.2|Targus|15.6 x 11.25 x 1.15 inches
90|Dane-Elec 8GB High-Speed Compact Flash Memory Card|DACF3008GC|44.88|0.05|DANE-ELEC|6.6 x 5.0 x 0.15 inches
91|Da-Lite Deluxe Anti-Sway Brace For Fast Fold Deluxe Screens|93605|132.99|10.0|Da-Lite|
92|Da-Lite Natural Walnut Veneer Model B Manual Screen with Matte White Fabric - 64 x 84 diagonal Video Format|73197|261.99|25.0|Da-Lite|
93|Audiovox Sirius CATV Distribution Kit|SCDK1|42.64|2.4|Audiovox|12.5 x 5.75 x 2.75 inches
94|Verbatim Smartdisk Optical Mini Travel Mouse Red|VER97255|17.2|0.19|Verbatim|8.5 x 4.94 x 1.5 inches
95|HP CE505XD Black LaserJet Print Cartridges 2pk|HP CE505XD|258.84|5.75|HP|1.0 x 1.0 x 1.0 inches
96|RCA 42  Class LCD 1080p 60Hz HDTV 42LA45RQ|42LA45RQ|429.0|46.9|RCA|43.7 x 30.0 x 10.1 inches
97|LaCie FireWire 800 ExpressCard 34|LAC130992|45.0|0.26|LaCie|8.2 x 6.8 x 1.1 inches
98|Mortimer Beckett Time Paradox Jewel Case|10958|7.82|0.1|Encore Software|5.7 x 5.1 x 0.6 inches
99|Canon PowerShot A3300 IS Black 16.0MP Digital Camera with 5x Optical Zoom 3.0  LCD 720p Video w 50 Bonus Prints|5035B001AA|156.54|1.0|Canon|3.7 x 2.2 x 0.9 inches
100|Bling Software 123 Copy DVD 2010 Windows|80244|32.98|0.15|Bling Software|7.5 x 5.5 x 1.25 inches
101|Case Logic SLR Camera Backpack|DCB-309BLACK|79.99|4.0|Case Logic|17.3 x 11.4 x 8.4 inches
102|Panasonic KX-TGA660B DECT 6.0 Plus Digital Cordless Handset Black|KX-TGA660B|40.88|2.0|Panasonic|6.9 x 1.9 x 1.3 inches
103|Vizio 42  Class 1080p 120Hz LCD HDTV RBE421VA Refurbished|RBE421VA|479.0|49.9|Vizio|39.73 x 26.7 x 9.99 inches
104|OmniMount Component Shelf - Black|ECSB|33.54|16.36|OmniMount|20.1 x 18.0 x 9.1 inches
105|Koss Stereophones With Flexible Headband Design|SPORTA-PRO|29.88|1.52|Koss|8.58 x 8.36 x 4.24 inches
106|Inland Lightweight Headphones with Volume Control|87010|7.82|0.16|Inland|10.1 x 9.3 x 3.9 inches
107|Targus 17  Groove Backpack for Laptops Black|CVR617|37.88|1.75|Targus|19.3 x 14.8 x 1.9 inches
108|Imation 26607 RDX Cartridge Hard Drive|26607|117.84|0.5|Imation|4.94 x 3.75 x 1.19 inches
109|LaCie 130752 Rugged Hard Drive Sleeves|130752|16.84|0.6|LaCie|6.84 x 3.375 x 3.15 inches
110|Rubbermaid Commercial Pulse Caddy With Clean Connect 2 gal|Q96600|41.97|3.6|Rubbermaid Commercial|14.125 x 10.75 x 8.75 inches
111|EDGE 2GB 2X1GB PC25300 ECC 240 PIN FULLY BUFFERED KIT APPLE|PE20779302|79.88|0.4|EDGE|9.0 x 6.0 x 3.0 inches
112|Draper Matte White Signature Series E Electric Screen  - HDTV 119 diagonal|111599|2312.5|155.0|Draper|
113|Draper M2500 Premier Series C Manual Screen - 161 diagonal HDTV Format|200126|1948.95|95.0|Draper|
114|Xantech 100W Decora-Style Impedance Matching Volume Control|XVCD100|56.88|1.2188|Xantech|4.75 x 3.75 x 2.5 inches
115|Pioneer Add-On Navigation System For Nav-Ready Pioavh Models|AVIC-U220|428.0|2.15|Pioneer|10.0 x 6.5 x 3.6 inches
116|Peace Out 2-Pocket Folder|19604|0.0||Generic|11.75 x 9.5 x 0.1 inches
117|V7 10 CAT6 Snagless Molded Network Patch Cable Gray|V7N2C6-10F-GRYS|5.88|0.3|V7|10.0 x 8.0 x 1.0 inches
118|HOUSE OF DOOLITTLE                                 Express Track Daily Appointment Book Monthly Planner 5 x 8 Black 2012||15.19|1.0417|HOUSE OF DOOLITTLE|
119|Visual Land V-Touch Pro 4GB Flash Portable Media Player Purple|ME965L4GBPRP|49.0|0.35|Visual Land|8.5 x 5.5 x 1.2 inches
120|JVC KD-R320 CD Receiver|KDR320|70.0|4.0|JVC|10.787 x 9.685 x 4.488 inches
121|Belkin 16  Circuit Quilted Laptop Sleeve Black|F8N296|24.88|0.96|Belkin|16.81 x 12.28 x 2.38 inches
122|Pilot G2 Retractable Gel Ink Roller Ball Pen Extra Fine Point 12-count|31004|15.94|0.312|Pilot|
123|Link Depot USB 2.0 Flash Memory Card Reader MicroSD Secure Digital SD|LD-MSD-USB|4.98|0.65|Link Depot|4.5 x 4.0 x 1.5 inches
124|iFrogz EarPollution CS40-Orange Marin|EPCS40ORGMRN|39.99|0.5|iFrogz|10.0 x 5.6 x 1.2 inches
125|Startech 1 HDMI to HDMI Digital Video Cable|HDMIMM1|10.73|0.1|StarTech|5.5 x 4.2 x 0.7 inches
126|Audiovox Sirius Connect Home Dock for SP ST SV 3-5|SCHDOC1|55.13|2.5|Audiovox|7.3 x 5.1 x 4.1 inches
127|Tribeca Varsity Jacket Hard Shell Case for iPod Touch Detroit Redwings|FVA3791|18.99|0.9|Tribeca|7.75 x 4.0 x 0.75 inches
128|Motorola TZ700 Bluetooth Roadster Visor Speaker|89423N|54.54|0.64|MOTOROLA|9.0 x 5.1 x 2.2 inches
129|Bushnell BackTrack Personal Locator Tech Gray||49.99||Bushnell|
130|Kensington Virtuoso iPad Stylus and Pen|K39304US|17.54|0.1|Kensington|5.4 x 1.9 x 1.1 inches
131|Sabrent USB 2.0 Wireless 802.11g Adapter|NT-WGHU|24.88|1.5|Sabrent|10.0 x 8.0 x 2.8 inches
132|Apple iPad 2 with Wi-Fi 3G AT T White 32GB|MC983LL/A|729.0|2.7|Apple|11.3 x 9.4 x 3.6 inches
133|Encore Marooned PC|24751|10.88|0.1|Encore|6.0 x 5.0 x 0.5 inches
134|Panasonic SDR-S70S Silver SD Camcorder w 70x Optical Zoom 2.7  LCD Display|Panasonic SDR-S70-S|236.32|1.85|Panasonic|4.22 x 2.51 x 2.16 inches
135|V7 10 DVI Male to Male Cable|V7N2DVI-10F-BLK|12.88|0.45|V7|9.0 x 6.5 x 1.4 inches
136|Casio XJ-A235U Green Slim DLP Projector|XJA235U|1199.99|9.25|Casio|15.1 x 10.8 x 6.7 inches
137|Night Owl Optics APOLLO-45 4-Channel H.264 500GB DVR Kit|APOLLO-45|338.0|6.5|Night Owl|11.6 x 8.5 x 1.8 inches
138|Sony NSZ-GT1 Internet TV and Blu-ray Disc Player Powered by Google TV|NSZ-GT1|198.0|9.9|Sony|13.0 x 9.8 x 2.3 inches
139|Merkury Shoot-N-Share Case Sunrise Gumball|MB-NS9GS|8.88|0.2|Merkury|7.55 x 3.54 x 1.1 inches
140|Panasonic SLIMZ Over-Ear Headphone Green RP-HX40-G|RP-HX40-G|34.88|1.0|Panasonic|9.1 x 7.2 x 1.4 inches
141|Cables Unlimited - 1 Port DB9 Serial Neos 9820 Chipset PCI I O Card|IOC-2000|20.88|0.2|Cables Unlimited|17.32 x 14.57 x 13.89 inches
142|CyberPower 1030HT Home Theater Surge Protector|1030HT|69.88|6.5|CyberPower|25.25 x 10.25 x 3.5 inches
143|RCA 6 Digital Series Digital Quad RG-6 Coaxial Cable|DH6QC|11.99|0.3|RCA|7.8 x 5.5 x 1.3 inches
144|Case Logic 16  Value Laptop Briefcase Black|VNCI116BLACK|22.0|1.8|Case Logic|17.7 x 13.1 x 4.0 inches
145|Case Logic Medium SLR Camera Bag|133827|47.99|1.04|Case Logic|12.0 x 9.5 x 5.0 inches
146|StarTech.com DMSVGAVGA1 LFH 59 Male to Dual Female VGA DMS 59 Cable|DMSVGAVGA1|15.0|0.25|StarTech|10.35 x 4.95 x 0.45 inches
147|Middle Atlantic 30 Amp Stand-Alone MPR Module|RLM30-L520-1|237.99|3.0|Middle Atlantic|
148|Xerox 108R00579 Transfer Roller|108R00579|199.88|3.8|XEROX|18.0 x 7.47 x 5.85 inches
149|Imation 43347 DDS-2 Data Cartridge|43347|10.88|0.1|Imation|2.93 x 2.25 x 0.68 inches
150|Edge 160GB DISKGO 2.5in. BACKUP ULTRA PORTABLE USB 2.0 HARD DRIVE|PE206628|57.48|1.1|EDGE|9.0 x 6.0 x 3.0 inches
151|NeatReceipts Portable Mobile Sheetfed Scanner|00346NEAT|199.98|2.2|NeatReceipts|14.0 x 7.2 x 3.3 inches
152|Draper High Contrast Grey Access Series E Electric Screen  - WideScreen 162 diagonal|104193|1585.45|118.0|Draper|
153|Draper Matte White Targa Electric Screen With Low Voltage Controller - NTSC 200 diagonal|116249L|1557.95|100.0|Draper|
154|Kimberly-Clark Professional Scott Slimroll Hard White Towels 6 ct|12388|54.97|15.0|KIMBERLY-CLARK PROFESSIONAL|18.25 x 12.25 x 8.5 inches
155|Sumdex SLR Camera Sling Pack|144952|39.99|3.0|Sumdex|15.75 x 9.5 x 6.75 inches
156|iLuv 17  MacBook Pro Sleeve Gray|IBG2030GRY|19.0|0.56|iLuv|16.0 x 13.0 x 1.0 inches
157|Quartet Total Erase 3-Month Modular Planning System Aluminum Frame 36|CMP32|129.94|13.0|Quartet|
158|Griffin Arrowhead Universal Stand for Tablets|GC32006|0.0||Griffin Technology|7.09 x 5.0 x 1.18 inches
159|Powermat Wireless Charging Receiver for BlackBerry Torch|PRL01-001-US|23.88|1.0|Powermat|3.0 x 2.0 x 0.25 inches
160|imation 3.5  Diskettes IBM-Formatted DS HD|15847|39.09|1.895|Imation|
161|Samsill 4  Non-Stick Round Ring Poly View Binder White|1750545|7.09|0.1|Samsill|
162|Pacon Rainbow Duo-Finish Colored Kraft Paper 35 lbs. 36  x 1000 ft|63300|62.94|34.0|Pacon Products|
163|CP Technologies LevelONE WAN-2140 Panel Antenna|WAN-2140|78.67|2.4|CP TECH|14.2 x 9.9 x 3.0 inches
164|D-Link DAP-1350 Wireless-N Pocket Router and Access Point|DAP1350|99.99|1.1|D-Link|9.0 x 6.0 x 3.1 inches
165|Da-Lite Advance TV Quick Link Wall Mount for 32 - 35 Monitors||282.99|58.0|Da-Lite|
166|Da-Lite Da-View Thru-the-Wall Rear Projection Screen - 58 x 104 HDTV Format|23074|22472.99|882.0|Da-Lite|
167|Sony Premium EX Earbuds MDREX57LP BLK|MDREX57LP/BLK|39.99|1.0|Sony|7.0 x 2.5 x 1.5 inches
168|Arkon iPad Desktop and Travel Stand|IPM-TAB1|14.09|0.5|Arkon|8.0 x 6.0 x 2.0 inches
169|BIC Triumph 537R 0.7mm Roller Pen Blue 4 Ct. 2-Pack||7.76|||
170|Tribeca University of Alabama iPad Slip Sleeve|FVA2344|28.0|0.35|Tribeca|11.4 x 8.3 x 0.7 inches
171|Draper Glass Beaded Access Series E Electric Screen  - NTSC 100 diagonal|104043|1486.95|77.0|Draper|
172|ASUS US Radeon 1GB GDDR5 HD6870 PCI Express Graphics Card|EAH6870D2DI2S1G|199.82|3.55|Asus|16.1 x 9.3 x 3.7 inches
173|Zoom Telephonics 9006-00-00F Wireless Keyboard with TouchPad|9006-00-00F|41.75|1.0|Zoom|13.5 x 5.0 x 1.25 inches
174|Sony Cyber-shot DSC-TX100V 16MP Sleek Camera Silver w 4x Optical Zoom HD Movie Capture 3.5  LCD w 50 Bonus Prints|DSC-TX100V|348.0|0.85|Sony|8.0 x 6.0 x 3.0 inches
175|San Diego Chargers Camera Case|FVA2845|19.99||Tribeca|
176|ioSafe Rugged 750GB USB 3.0 Portable External Hard Drive|PA70750U1YR|139.98|1.0|IOSAFE|10.0 x 8.0 x 3.0 inches
177|Human Toolz 3-in-1 Laptop Pad Designer Tan|3N1NDT|9.88|0.18|Human Toolz|10.8 x 6.3 x 0.04 inches
178|JVC FLATS Lightweight Folding Headphones Silver|HAS160S|36.88|2.01|JVC|8.75 x 6.25 x 1.3 inches
179|Compucessory Compucessory Foldable Noise Canceling Headphones Black|CCS59224|52.99|0.02|Compucessory|
180|Fellowes Vinyl CD DVD Sleeves 50-Pack|90659|10.88|0.56|Fellowes|7.0 x 5.12 x 1.2 inches
181|Amzer 10  Neoprene Reversible Sleeve Carry Case Ebony Black Sea Green|90805|16.88|9.0|AMZER|14.0 x 11.0 x 8.0 inches
182|Targus Zierra Case for BlackBerry Playbook Tablet Black|THZ053US|55.88|0.72|Targus|8.27 x 6.09 x 1.17 inches
183|Startech 430W ATX12V 2.3 80 Plus Computer Power Supply Active PFC|ATX2POWER430|60.0|4.28|StarTech|9.13 x 7.87 x 3.86 inches
184|Los Angeles Dodgers Pink iPhone 4 Hard Case|FVA4450|29.99||Tribeca|
185|Case Logic 30 Capacity CD Case|56349|15.99|1.94|Case Logic|11.22 x 8.86 x 5.91 inches
186|Fellowes 55-Piece Computer Maintenance Tool Kit|49106|43.88|2.54|Fellowes|13.25 x 7.0 x 1.5 inches
187|Kingston ValueRAM 2GB DDR3 SDRAM Desktop Memory Module|KVR1333D3LS4R9S/2G|63.88|0.05|Kingston|6.25 x 2.25 x 0.5 inches
188|Middle Atlantic Remote Control Switch|USC-KL|80.99|0.55|Middle Atlantic|
189|UltraLast Green Travel Charger with 2 AA Green Batteries|ULGTRAVEL|20.88|1.5|Ultralast|10.0 x 6.5 x 2.5 inches
190|Panasonic Replacement Film Rolls|KX-FA136|42.84|1.64|Panasonic|9.25 x 4.75 x 2.0 inches
191|D-Link DKVM-8E 8- Port KVM Switch|DKVM-8E|179.82|10.05|D-Link|16.14 x 6.5 x 1.85 inches
192|Epson S041595 Photographic Papers|S041595|69.88|9.84|Epson|23.18 x 5.4 x 5.4 inches
193|Epson S041378 Photographic Papers|S041378|59.88|2.7|Epson|11.7 x 3.38 x 3.38 inches
194|San Diego Chargers Pro Grip Mouse|MSNF25|26.99||Team Pro Mark|
195|VTech DS6151 2-Line Expandable Cordless Phone with Digital Answering System Caller ID|DS6151|62.51|1.4|VTech|9.0 x 5.45 x 4.7 inches
196|Draper Matte White Envoy Electric Screen  - NTSC 150 diagonal|112018|1456.0|140.0|Draper|
197|Draper Matte White Rolleramic Electric Screen - AV Format 15 x 20|115020|2989.99|377.0|Draper|
198|Draper High Contrast Grey Access Series E Electric Screen  - WideScreen 120 diagonal|104191|1517.95|100.0|Draper|
199|Simplism Silicone Case Set iPad Brown|TRSCIPADBREN|33.0|0.2|Simplism|12.0 x 12.0 x 9.0 inches
200|Draper M1300 ShadowBox Clarion Fixed Frame Screen - 161 diagonal HDTV Format|253019|1348.99|55.0|Draper|
201|Seagate FreeAgent GoFlex 500GB USB 2.0 Ultra-Portable Hard Drive Black|9ZF2A2-570|71.07|0.62|Seagate|4.39 x 3.19 x 0.57 inches
202|Boss MP3 CD Receiver Speaker Package System|655CK|78.0|8.0|Boss|7.2 x 6.2 x 2.0 inches
203|Sharpie Pen Retractable Fine Point Pens Black Set of 2||5.88||Sharpie|
204|BIC Mark-It Retractable Permanent Marker Fine Red 1-Dozen|PMR11-RED|12.49|0.4|BIC|6.0 x 2.75 x 1.63 inches
205|Cleaning Cards for Canon CR-Series Check Scanners|1904V566|29.88|0.6|Canon|9.5 x 6.0 x 2.5 inches
206|Memorex White Matte CD Label Refills - 300 Pack|3202-0403|29.54|4.13|Memorex|12.5 x 9.5 x 1.5 inches
207|Avery Design Edge Presentation View Binder 1  Capacity|68080|7.47|1.042|Avery|
208|MacCase Premium Leather 17  MacBook Pro Flight Jacket w Backpack Option|155623|191.96|1.5|MacCase|16.5 x 12.0 x 1.0 inches
209|Link Depot 80mm LED Computer Case Fan Black|FAN-80-BK|3.98|0.7|Link Depot|7.0 x 4.5 x 1.5 inches
210|honestech VHS to DVD 5.0 Deluxe for Pc|VDD5M|64.98|0.7|Honest Technology|7.6 x 5.4 x 2.3 inches
211|Avery Laser Inkjet Mailing Labels Mini-Sheet 1 x 2-5 8 White 200 Pack|2160|7.62|0.327|Avery|
212|PC Treasures External DVD-RW Drive Purple|7188|57.74|1.0|PC Treasures|6.0 x 6.0 x 1.0 inches
213|Rayovac Alkaline 9 Volt Batteries 6ct|A1604-6CTD|9.97|0.62|Rayovac|15.74 x 11.74 x 11.35 inches
214|Da-Lite High Contrast Matte White Model B Manual Screen - 60 x 60 AV Format|93154|92.99|13.0|Da-Lite|
215|Buffalo Technology MiniStation Metro 1 TB USB 2.0 Portable External Hard Drive with Integrated Flex Cable Encryption and TurboPC HD-PXT1TU2 B Black|HDPXT1TU2B|99.82|0.95|Buffalo Technology|8.8 x 6.1 x 1.9 inches
