id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/job
67||Julian Richings|||||guestStars
68||Kari Matchett|||||guestStars
69||Amelia Bullmore|||||writers
70||Akiyuki Shimbou|||||directors
71||Alyson Lyon|||||guestStars
72||Michael Hurst|||||directors
73||JB Smoove|||||guestStars
74||Tom Fontana|||||directors
75||Tom Fontana|||||writers
77||Sally Field|||||guestStars
78||Vegard Ylvis?ker|||||actor
80||Jerry Orbach|||||guestStars
81||Bray Poor|||||guestStars
82||Geoffrey Cawthorn|||||director
83||Christopher McCulloch as Jackson Publick|||||director
84||Keith Truesdell|||||directors
85||Henry Bromell|||||director
86||Nick Wood|||||director
87||Beau Willimon|||||writers
88||Laura Shepherd|||||director
89||Tim Bagley|||||guestStars
90||Bernard Girard|||||directors
91|Cyber||On Lt. Vega's birthday, he thinks no one's concerned about it, but his secretary Miss LeSage deliver a surprise present from Ace. But before he open it, he gets another surprise present from Capt. Friedrichs. Vega gets to work with a strange new partner: a robotic police recruit named Cyber. Invented by the Cyber Corporation, Cyber is the first cybernetic police officer, and it won't be the last thanks to the company's vice-president, Eldin Tyrole. Cyber gets his first test at the Croesus Palace where two robbers are causing trouble. Ace and Cosmo stop the robbers are causing trouble. Ace and Cosmo stop the robbers and Cyber hauls them off to jail, giving the cybercop a media blitz. Back at the Magic Express, Ace, Cosmo, and Vega learn the robbery was a set-up to give Cyber publicity. Before Vega can give robbers questions, Tyrole who just happens to be Black Jack's niece has already freed them. Vega gets ticked off when two more cybercops try to clean his office. As he yells at Cyber,|4.0|1.0|1999-03-20|
92|Revenant||The truth behind the thousand year old legend of the Seeker Kieran is uncovered.|13.0|1.0|2009-02-28|
93||Mimi Kennedy|||||guestStars
94||Eric Wojtanik|||||writers
95||Mekhi Phifer|||||guestStars
96||Mina Kolb|||||guestStars
98||Kari Matchett|||||actor
99||Lauren Tom|||||guestStars
100||Regis Harrington|||||guestStars
101||Akiyuki Shinbo|||||directors
102||Kevin Dunn|||||guestStars
103||Mark Beesley|||||directors
104|Koyomi Torus|||29.0|0.0|2016-03-05|
106|House of Cards (US)||Ruthless and cunning, Congressman Francis Underwood and his wife Claire stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.|||2013-02-01|
107||Joey Scherr|||||guestStars
108||Jeff Schaffer|||||directors
109| Earthworm||Isabella Rossellini explores the mating habits of worms.|1.0|1.0|2008-05-05|
110||Terike Haapoja|||||guestStars
111||Antoinette Spolar|||||guestStars
112||Johannes Krisch|||||actor
113||Karen Racicot|||||guestStars
114|Episode 16||After the birthday party, Jaekyung shows her interest to Junpyo. With her easy going personality, Jaekyung becomes friend with Jandi. Although Jandi likes Jaekyung’s untainted and friendly attitude, she feels uncomfortable. Jihu runs into his grandfather while taking saddened Jandi to her volunteer work at the clinic. Yijung and Woobin fail to seclude Jaekyung from Junpyo. With Gaeul’s help, Yijung finally reunites Junpyo and Jandi.|16.0|1.0|2009-02-24|
115||Les Carter|||||writers
116||Robert Cohen|||||directors
117|Episode 8||At last Jihu and Jandi go on an official date. Invited to Jihu's house, Jandi smiles bitterly at the remnants of Seohyun found all over the house. Tailing the two, Junpyo discovers that he still has feelings for Jandi. Meanwhile, Jandi rushes to the hospital upon hearing that Junpyo has been in an accident. There, she realizes her true feelings for Joon-pyo.|8.0|1.0|2009-01-27|
118|Puppeteer||Zedd uses magic to outsmart Darken Rahl and steal the third and final Box of Orden|9.0|1.0|2009-01-17|
119||Don Megowan|||||guestStars
120||Frances Collier|||||guestStars
121||Barry Levinson|||||director
122|Presenting document Whores' Glory|||23.0|0.0|2013-10-16|
123||Claire Scanlon|||||director
124||Rick Marshall|||||directors
125|Maybe No Go||White and Billy grapple with their archenemy in their old neighborhood; Doc realizes he cannot face his responsibilities alone.|2.0|6.0|2016-02-08|
126|Special Guests: Jasper P??kk?nen and P?ivi Uljas|||53.0|0.0|2014-09-03|
127||Ronald Weyman|||||director
128|Dirtiest Tools & Machines||Mike Rowe takes a look at some of the tools and machines which make doing dirty jobs a little easier. Mike talks about some of the behind the scenes machine action from when he was a house mover, a tire recycler, a demolition worker, a scrap metal recycler, a golf ball recycler, and finally a hot tar roofer.|4.0|0.0|2006-01-03|
129|The Larry David Sandwich||As the Jewish high holy days approach, a near-death experience, coupled with a comment made by his father, leaves Larry wondering if there's more to his identity than he thought. In better news, a sandwich now bears his name, but it's not entirely to his liking.|1.0|5.0|2005-09-25|
130|Presenting document A Remix Manifesto|||70.0|0.0|2014-10-15|
131||Michael Ealy|||||actor
132|Hello Goodbye||Monty wonders if it is possible to feel both happy and sad at the same time.|28.0|1.0|2016-09-14|
133||Robbie Rox|||||guestStars
134||Charles J. Musumeci|||||guestStars
135|The Greatest Gift||Monty doesn't have any money to get his Mum a birthday gift, and wonders if a gift has to be big or cost money to be special.|52.0|1.0|2017-07-11|
136|Volume 5||'Volume 5: Death in a Heartbeat - Murder of Victor Chang (60mins) (M)The Body in the Bag - Jane Doe (20 mins) (M)Contract to Kill - Megan Kalazcich (25 mins) (MA 15+)The Mornington Monster - John Myles Sharpe (25 mins) (MA 15|5.0|0.0||
137||Jesse Warn|||||director
138|Finale - A Year||The series finale charts a year in the life of Freddie and Stuart, who enjoy their inheritance and a birthday. Violet, meanwhile, moves on from her divorce; and Ash has big news.|2.0|0.0|2016-12-16|
139||Jonathan Orcutt|||||guestStars
140|Wordsworth, 1770-1850||Nature and human nature in William Wordsworth. Featured performer: Julian Glover.|10.0|1.0|1984-10-28|
141||Libby Hinson|||||writers
143||Christine Gernon|||||directors
144||Doc Hammer|||||writers
145|Wild Goose Chase||'Mike Rowe goes on a wild goose chase - literally! After traveling to the tundra, Mike joins forces with a team of workers that round up a flock of wild geese with airplanes.|22.0|0.0|2007-08-27|
146||Anya Epstein|||||writers
147||James Urbaniak|||||guestStars
148||Zadalauna Watson|||||guestStars
149||Marko Lehtosalo|||||guestStars
150|Director's Cut|||5.0|5.0|2017-12-05|
151||Pat McNamara|||||guestStars
152|Episode 6|||6.0|1.0|2015-07-21|
153|Laos - Part 3|||3.0|2.0|2014-09-26|
154||Jodie Foster|||||director
155||Lee Shallat-Chemel|||||director
156||Matt Roller|||||writers
157||Leslie Libman|||||directors
158||Beau Starr|||||guestStars
159||Robert Mitchell|||||writers
160||Fredella D. Calloway|||||guestStars
162|Super Helico ~ Banzai 90|||58.0|1.0|2008-02-03|
163||Steven Rattazzi|||||actor
164||Paul Boocock|||||guestStars
165|The Nanny from Hell||'Larry, Cheryl, Jeff and Susie encounter a ''nanny from hell'' whose reign of terror is thwarted by ten sponge cakes. Larry commits a ''penis faux pas'' after a pool party, and Richard Lewis seeks immortality from Bartlett's Quotations.|4.0|3.0|2002-10-06|
166||Carl Franklin|||||director
167||Keith Gordon|||||director
168|The Act of Killing|||34.0|0.0|2013-11-06|
169||Samuel L. Jackson|||||guestStars
170||CBeebies|||||
171||Timothy Hutton|||||directors
172||Joey Perillo|||||guestStars
173||||4.0|0.0||
174||Douglas Glover|||||guestStars
175||Elizabeth Reaser|||||guestStars
176|Bonanza||'The show chronicles the weekly adventures of the Cartwright family, headed by the thrice-widowed patriarch Ben Cartwright. He had three sons, each by a different wife: the eldest was the urbane architect Adam who built the ranch house; the second was the warm and lovable giant Eric ''Hoss''; and the youngest was the hotheaded and impetuous Joseph or ''Little Joe''. Via exposition and flashback episodes and each wife was accorded a different ethnicity. The family's cook was the Chinese immigrant Hop Sing.|||1959-09-12|
177|Koyomi Wind|||25.0|0.0|2016-02-06|
178|Tsukihi Phoenix - Part 1||Koyomi is concentrated on his studies when he is interrupted by Karen who, much by his surprise, is wearing her sister Tsukihi's clothes, displaying an air more feminine than usual. Karen asks Koyomi to introduce her to Suruga knowing that she is friends with him, but he refuses without giving a reason, fearing that she would make a move on his sister. Karen then challenges his brother to a contest, making him promise to comply with her request if he loses. Koyomi then choses the contents of the challenge - she would let him brush her teeth for five minutes without resisting, which she accepts. Surprisingly, both start getting more and more aroused as Koyomi brushes Karen's teeth until Tsukihi barges in demanding an explanation. Despite fearing what punishment Tsukihi has in store for them after she leaves and Koyomi accepting defeat, Karen asks him to continue from where they stopped. |8.0|2.0|2012-02-26|
180||Arthur Eric Hunter|||||guestStars
181||Anna Kontula|||||guestStars
182||Seth Kurland|||||writers
183||Thomas Stipsits|||||actor
184||Michael Dante DiMartino|||||director
185||Aaron D. Spears |||||actor
187||Gretchen Koerner|||||guestStars
188|Raumpatrouille Orion||What seems like a fairy tale today may be reality tomorrow. Here we have a fairy tale of the day after tomorrow. There are no more national states, only mankind and her colonies in outer space. We settle on stars far-off, the bottom of the sea is developed as living place. With what are today unimaginable speeds, the starships of tomorrow transverse the Milky Way. One of this starships is the Orion, a little piece in the giant security system which protects the Earth from outer space threats. Let's accompany the Orion and her crew at their patrols-service on the edge of infinity... |||1966-09-17|
189||Marty Moreau|||||guestStars
190||Theodor Gr?dler|||||directors
191|Cosmic Clean-Up||When Stan and Violet ask Monty to tidy his room, they suggest he turn it into a game to make it more fun. However, Monty begins to question whether it is possible to do this.|5.0|1.0|2016-06-24|
192||James Foley|||||directors
193|The Wire||Hoping to bury an unsightly telephone wire dangling over their yard, Larry and Cheryl befriend a pair of bizarre neighbors who must approve the burial. The husband is an incompetent lawyer but a big Seinfeld fan, so to appease him Larry arranges to have Julia Louis-Dreyfuss come for a visit. But when the actress arrives, the lawyer is missing; he's been hired to defend Jeff in a case involving a destructive kid Jeff sponsored for a Fresh Air Fund camp. At Larry's house, Julia ends up buying a bracelet from the lawyer's wife -- the same kind Larry wanted in episode 4 -- only to later accuse Larry of stealing it after he buys a similar one for Cheryl.|6.0|1.0|2000-11-19|
194||Madlyn Rhue|||||guestStars
195|Special Guest: Terike Haapoja|||18.0|0.0|2013-10-02|
196|Family Guy||Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.|||1999-01-31|
198||Sarah Treem|||||writers
199|About Freedom|||7.0|2.0|2014-10-15|
200|Special Effects Artist||Mike exposes the fascinating secrets behind the dirty world of special effects. He explores this very strange world as he is transformed into a real life zombie by special effects artist, Toby Sells. Also, Mike gets dirty harvesting kelp.|15.0|3.0|2007-10-30|
201|Mid-Life Chrysalis||The Monarch sends Dr. Girlfriend undercover to seduce Dr. Venture in order to inject him with a body-altering serum. Meanwhile, Brock is deeply depressed to he learn his secret agent license to kill has expired, but the boys are hell-bent on helping him cram for his government exam.|8.0|1.0|2004-09-25|
203|Chapter 63||As the team tries to control fallout from damaging testimony and leaks, everyone is under suspicion and tensions flare between Frank and Claire.|11.0|5.0|2017-05-30|
204||Herbert Reinecker|||||writers
205|Special Guests: Pekka Lehto and Venla M?ntysalo|||59.0|0.0|2014-09-17|
206||Bryan Gordon|||||director
208||Jeff Schaffer|||||director
209||Leeanna Saunders|||||guestStars
210||Shana Goldberg-Meehan|||||director
212||Natalie Trundy|||||guestStars
213||Bernard Girard|||||director
214|Shakespeare, 1564-1616||'The ''rough magic'' of William Shakespeare's onstage verse. Featured performers: John Gielgud, Peggy Ashcroft, and Ralph Richardson.|5.0|1.0|1984-05-30|
215|Double Blind||A girl complains to the desk sergeant about her father's abuse of her mother. Meldrick spends the night remembering Crosetti with the Chris and Eva Thormann. Chris reflects on his own memories of the shooting incident that blinded him, the shooter is now up for parole. Bayliss with Pembleton investigate the homicide of a man shot to death in his own house. The shooter, the murdered man's wife will testify, is their daughter. The case triggers a painful memory for Tim who goes to visit his Uncle George.|18.0|5.0|1997-04-11|
216||Jeff Garlin|||||directors
218||Nic Pizzolatto|||||writers
219||Fritz B?ttger|||||writers
220|Episode 19|||19.0|1.0|2015-09-07|
222|Episode 1|||1.0|1.0|2015-07-06|
223||Larry Charles|||||directors
224||Theara J. Ward|||||guestStars
225||Joaquin Obradors|||||guestStars
226||Luke Ward-Wilkinson|||||actor
227||Nick Wood|||||directors
228||Harant Alianak|||||guestStars
229||George Macminn|||||guestStars
230||Tomoyuki Itamura|||||director
231||Marcia Warren|||||actor
232||Jake Gyllenhaal|||||guestStars
233||Marina Inoue|||||actor
234|Nakama ~ Super Helico|||55.0|1.0|2008-02-03|
235|About Social Media: The Thread|||3.0|3.0|2015-09-23|
236|The Baptism||The Jewish fiance of Cheryl's sister converts to Christianity; Richard Lewis accuses Larry of stealing the outgoing message on his answering machine.|9.0|2.0|2001-11-18|
237||Jeanne Cooper|||||guestStars
238||Jun Ki Sang|||||director
239||Agnieszka Holland|||||directors
240||John Capes|||||guestStars
241||Charlie Haskell|||||director
242||Kevin Arkadie|||||writers
243||David R. Schwartz|||||writers
244|First to Die||A shotgun wedding leaves naval officers John Marmo and Rebecca Braswell in a troubled marriage with a baby. As the relationship crumbles, allegations of infidelity and abuse run rampant. A fierce custody battle pushes both sides in a deadly battle.|3.0|3.0|2016-01-23|
245||Akiyuki Shimbou|||||writers
246||||6.0|1.0|1980-05-15|
247|A New Start||To avenge Yoo Tae Joon's death, Won Bong and Young Jin infiltrate the base camp of the Kwantung army and kill Murai. Now that they've acquired Comintern's funds and Majar, the bomb technician, they part their ways. But before they do so, Young Jin reveals to Won Bong that she works for the Korean Patriotic Corps.|11.0|1.0|2019-05-18|
248||Stephen DeStefano|||||guestStars
249||Edward Andrews|||||guestStars
250||Mary Foran|||||guestStars
251||Michael Glawogger|||||director
252||Nicki Paluga|||||writers
253||Marshall Lancaster|||||actor
254||Richard Branson|||||guestStars
255|Alaska||Bruce travels to Alaska, America's last great wilderness, where modern-day pioneers are harvesting the vast natural wealth of the seas. Bruce learns the ropes onboard a salmon-fishing boat, and dives to the bottom of the Bering Sea to look for gold. In the far north Bruce witnesses the annual whale hunt of the Inupiak people whose ancient tradition is now at odds with the modern world and questions what is more important: the life of a whale or the death of a culture?|3.0|1.0|2011-01-23|
256||Wolfgang Becker|||||director
257||Will Ferrell|||||guestStars
258||Christopher McCulloch as Jackson Publick|||||directors
259||Son Jong-Hak|||||actor
260|The Pants Tent||Larry goes to the movies with one of Cheryl's friends and his pants have an unusual bulge in them, making him look like he's having an erection.|1.0|1.0|2000-10-15|
261|Murder of Innocence-Sian Kingi||On 27 November, 1987, 12-year-old Noosa school girl, Sian Kingi was grabbed off her push bike by Valmae Fay Beck and Barrie John Watts as she rode home from school. Beck and Watts gagged the innocent, terrified child. Watts then raped and bashed her. He then callously, and without remorse, cut her throat while his cowardly wife and mother of six watched on. Six days later, a fruit picker discovered Sian's mutilated body, still dressed in her Year Seven Sunshine Beach School uniform, in a creek bed. The hunt for the killers and their arrest was led by Bob Atkinson, now Queensland's police commissioner. As a result of thorough and dedicated police work by Queensland detectives, and in concert with New South Wales police, Beck and Watts were located hiding in a motel at Long Jetty on the NSW Central Coast a few weeks later. Police believe Beck and Watts are linked to the murders of Sharron Phillips, 20, in Brisbane's outer west, Stella Mary Farrugia, 19, and Louise Bell, 10, in Adelaide. In 1995, Watts was convicted of the manslaughter of 31-year-old student, Helen Mary Feeney in late 1987. Beck gave evidence against Watts, though Ms Feeney’s body has never been found. In 2008 Beck was hospitalised and underwent heart surgery, but later died in hospital.|5.0|3.0|2009-06-25|
262||Clara Henry|||||guestStars
263||Henry Brandon|||||guestStars
264|Blood of the Father, Heart of Steel||Henchman 21 copes with life without 24. Brock and the Venture family are forced to part ways. Discover the final fate of H.E.L.P.eR. And Dean must kill Hitler.|1.0|4.0|2009-10-18|
265||????|||||writers
267|Home Insecurity||To protect the Venture compound while Brock is on his yearly mountain survival sabbatical, Dr. Venture builds a panic room and a robotic bodyguard -which are soon put to the test when both the Monarch's and Baron Underbheit's henchmen choose the same night to launch attacks. While the supervillains bicker over who has dibs on Dr. Venture, Brock is busy befriending the strangest couple in the Cascadian mountains. Oh yeah, and H.E.L.P.eR. runs away in a fit of jealousy.|3.0|1.0|2004-08-21|
268||Ken Ruff|||||guestStars
269||Monica McKinley|||||guestStars
270||?? ?|||||director
271||Nicholas Ofczarek|||||actor
272||Julie Martin|||||writers
274||Bonnie Mark|||||directors
276||Sarada Kotto|||||guestStars
277|Chapter 41||As Claire begins exploring a campaign of her own, she and Frank engage in backdoor political maneuvering. But this time they're not on the same side.|2.0|4.0|2016-03-04|
278|Cop Killer||Two illegal aliens flee a barbershop when a New York City cop begins asking questions. When the cop turns up dead, Wolfe must clear the two of his murder.|15.0|2.0|2002-08-11|
279|Errand of Mercy|||32.0|2.0|1961-05-29|
280||Tony Tsendeas|||||guestStars
