id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country
80|Homicide: Life on the Street||'Homicide: Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit. It ran for seven seasons on NBC from 1993 to 1999, and was succeeded by a TV movie, which also acted as the de facto series finale. The series was originally based on David Simon's book Homicide: A Year on the Killing Streets. Many of the characters and stories used throughout the show were based on events depicted in the book, which was also part of the basis for Simon's own series, The Wire on HBO.Although Homicide featured an ensemble cast, Andre Braugher emerged as the series' breakout star through his portrayal of Frank Pembleton. The show won Television Critics Association Awards for Outstanding Achievement in Drama in 1996, 1997, and 1998. It also became the first drama ever to win three Peabody Awards for best drama in 1993, 1995, and 1997. In 1997, the episode ''Prison Riot'' was ranked No. 32 on TV Guide's 100 Greatest Episodes of All Time. In 2007, it was listed as one of Time magazine's ''Best TV Shows of All-TIME.'' In 1996 TV Guide named the series 'The Best Show You're Not Watching'. The show placed #46 on Entertainment Weekly's ''New TV Classics'' list.|||7.0|122.0||1993-01-31|1999-05-21|1993-01-01|45| Crime|US
81|?????????|||18.0|1.0|||||||||
82||Stepan Bubnov||||||||||||
83||Stephen Gyllenhaal||||||||||||
84|Episode 11|||11.0|1.0||||1971-11-21||1971-01-01|||
85|Episode 11|||11.0|1.0||||1972-03-10||1972-01-01|||
86|The Feud|||20.0|2.0||||1962-02-19||1962-01-01|||
87||Jimmy Sharp||||||||||||
88||Gaetano Grimaldi Filioli||||||||||||
89|A Party for Tarzan||In a case of mistaken identity, the Guild targets Dr. Venture for assassination, pooping his party for a fancy new friend.|7.0|6.0||||2016-03-14||2016-01-01|||
90||Samandar Rzayev||||||||||||
91||David Lau||||||||||||
92|Reunion|||3.0|3.0||||1955-09-11||1955-01-01|||
93|Rapacity In Blue||A super villain launches an assault on the Ventures and Doc's latest invention or a blue vigilante may save the day.|4.0|6.0||||2016-02-22||2016-01-01|||
94|Getting Risky||Mary Jane and Justin go rogue to chase a story as Mary Jane frets about meeting Lee's baby momma.|8.0|4.0||||2017-03-07||2017-01-01|||
95|On Your Honor, Your Honor|||8.0|2.0||||1954-10-17||1954-01-01|||
96|Docventures||'Documents about the surrounding world and Interesting conversation with experts about documentary subjects. Your hosts: Riku Rantala and Tunna Milonoff. Welcome to the journey!|||4.0|31.0||2013-08-28|2016-10-12|2013-01-01|58|Documentary|FI
97||Bill Smitrovich||||||||||||
98|[43] Otorimonogatari [3] Nadeko Medusa - Part 3||Nadeko spent the evening at the Araragi residence after Koyomi mistakes her for running away from home and takes her back to his place. The next morning, she talks to Koyomi's younger sister Tsukihi, a friend from back in grade school.|12.0|3.0||||2013-10-06||2013-01-01|||
99||Yoshitaka Nagaoka||||||||||||
100||Diane Boehme||||||||||||
101||Zoran Sruk||||||||||||
102||Anna Pinnock||||||||||||
103||Christoffer Hjalmarsson||||||||||||
104||Yukari Fukui||||||||||||
105||Jang Hyuk||||||||||||
106|Dirtiest Water Jobs|||18.0|1.0||||2005-12-20||2005-01-01|||
107|Los Ni?os Honestos|||16.0|6.0||||1999-04-22||1999-01-01|||
108||Donatas Banionis||||||||||||
109|Episode 19|||19.0|2.0||||2017-08-14||2017-01-01|||
110|Thondimuthalum Driksakshiyum||Prasad and Sreeja are a couple planning to set up a new life in Kasargod. On a bus journey they end up being robbed by a thief also named Prasad and this lands them up in a police station.||||||2017-06-30||2017-01-01|136|Comedy|
111||Maria Hofst?tter||||||||||||
112||Stanislaw Mucha||||||||||||
113||Teddy Productions||||||||||||
114||Thomas Stipsits||||||||||||
115|The Quarrel|||15.0|1.0||||1960-12-25||1960-01-01|||
116|Deadly Snake Wrangler||'In Australia, Mike Rowe teams up with local business ''Snakes Away'' to capture a poisonous Eastern brown snake without getting bitten, then joins a posse of local ''toadbusters'' in their war against the cane toad, a non-indigenous species destroying the local ecosystem.|2.0|9.0||||2012-08-29||2012-01-01|||
117|Hitagi Crab (2)||When Hitagi is attacked by a crab god, Oshino is forced to intervene. This allows her to beg the crab to return her feeling and memories.|2.0|1.0||||2009-07-10||2009-01-01|||
118|First to Die||A shotgun wedding leaves naval officers John Marmo and Rebecca Braswell in a troubled marriage with a baby. As the relationship crumbles, allegations of infidelity and abuse run rampant. A fierce custody battle pushes both sides in a deadly battle.|3.0|3.0||||2016-01-23||2016-01-01|||
119||Channel 4 Television||||||||||||GB
120|Episode 5|||5.0|1.0||||1983-03-06||1983-01-01|||
121||????????? ??????????????||||||||||||
122|Mary, Joseph and Larry||Larry proves himself an unskilled Christmas tipper, while both Larry and Jeff prove incompetent at creating believable alibis for the messes they get in. After offending his housekeeper, Larry makes amends with her at the expense of his wife. Later, Larry attempts to reconcile with Cheryl's family after ruining their nativity scene.|9.0|3.0||||2002-11-10||2002-01-01|||
123||Raymond Arrieta||||||||||||
124||Adam Bernstein||||||||||||
125||Larry Williams||||||||||||
126|?????????|||17.0|1.0|||||||||
127||Leyla Shikhlinskaya||||||||||||
128|Episode 3|||3.0|1.0||||2015-07-13||2015-01-01|||
129||Malou Crisologo||||||||||||
130|Episode 3|||3.0|1.0||||2016-11-18||2016-01-01|||
131||Richard Llewellyn||||||||||||
132|Episode 6|||6.0|1.0||||1972-02-23||1972-01-01|||
133||James B. Clark||||||||||||
134||Gesualdo Bufalino||||||||||||
135||Giao-Chau Ly||||||||||||
136||Carlo Fermariello||||||||||||
137||Peter L?hr||||||||||||
138||Soham Chakraborty||||||||||||
139||Barun Raha||||||||||||
140||Steve Arnold||||||||||||
141||Jeremy Bronson||||||||||||
142||Lee Do-gyeong||||||||||||
143|Plain, Unmarked Envelope|||24.0|7.0||||1960-04-03||1960-01-01|||
144|Episode 5|||5.0|3.0||||2019-05-25||2019-01-01|||
145||Leonid Kalashnikov||||||||||||
146|Charlie Six Kids|||15.0|1.0||||1962-05-29||1962-01-01|||
147||Otis Sallid||||||||||||
148|Chimney Sweeper||Mike first goes to the Chimney Safety Institute of America in Plainfield, IN and learns how to be a certified chimney sweeper. Mike then goes to Ontario, Canada to salvage underwater logs, which are then used to make furniture. Finally, Mike visits a scrap metal recycler in St. Louis, MO and learns how to separate different metals and operate some big machines.|13.0|1.0||||2005-11-08||2005-01-01|||
149|Abel||Abel doesn't leave his room for 20 years. After the accident, he confined himself to the cloister and his instincts, creating a routine.  However, it is when the person who ensures his survival ceases to appear, finishing the food and the drink, that he ends up leaving the alienated state in which he is. Abel goes out to the unknown in order to satisfy his addiction.  Without knowing it, he is approaching the abyss.||||||2018-02-28||2018-01-01|6|Drama|
150|Motherhunt (2)||'A widow finds a baby on her doorstep with a note saying ''A child should live in his father's house.''  Enter Wolfe, whose job is to find out if the dearly departed really sired the orphan.  Archie investigates and still finds time to romance the widow.  After a few dead ends, Wolfe and Archie redouble their efforts using the baby as mother-bait, but the scheme leads to another death.  With his usual impeccable timing, Inspector Cramer comes knocking, and Wolfe and Archie are forced into hiding at their client's house to buy time to solve the case.|7.0|2.0||||2002-05-19||2002-01-01|||
151|Episode 14|||14.0|2.0||||2017-08-14||2017-01-01|||
152||Marion Rothman||||||||||||
153||Tony Pitts||||||||||||
154||Joe Chrest||||||||||||
155||Beyond C.||||||||||||
156|Episode 15|||15.0|1.0||||2003-01-30||2003-01-01|||
157||Jun Ki Sang||||||||||||
158|Soo Locks Technician||Mike goes to Michigan to join up with the 12 maintenance crew.|4.0|6.0||||2010-01-26||2010-01-01|||
159|The Red Dress|||6.0|7.0||||1959-11-01||1959-01-01|||
160||Ken Anderson||||||||||||
161||Brian Kratz||||||||||||
162|Episode 11|||11.0|1.0||||2016-12-15||2016-01-01|||
163||Raging Stallion Studios||||||||||||US
164|The Nanny from Hell||'Larry, Cheryl, Jeff and Susie encounter a ''''nanny from hell'''' whose reign of terror is thwarted by ten sponge cakes. Larry commits a ''''penis faux pas'''' after a pool party, and Richard Lewis seeks immortality from Bartlett's Quotations.|4.0|3.0||||2002-10-06||2002-01-01|||
165||Luis Chao||||||||||||
166|Der ?berfall|||4.0|1.0||||2012-10-02||2012-01-01|||
167|Don't Call It A Comeback|| BET's first hour long scripted drama is a follow-up to the same-titled TV movie that premiered on the network in the summer of 2013. The series returns Gabrielle Union to the lead role of Mary Jane Paul, a successful cable news anchor who has a closet packed with designer clothes and shoes, a beautiful home, a nice car, and the drive to achieve even greater heights. Yet something is missing. As Mary Jane looks to start a family of her own to share life's greatest gifts, she discovers who she really is and the people who help define her. |6.0|3.0||||2015-11-17||2015-01-01|||
168||David Moore||||||||||||
169|[52] Koimonogatari [4] Hitagi End - Part 4||Kaiki heads to North Shirahebi Shrine daily in order to deceive Nadeko the snake god but finds himself being followed on his way home. Furthermore, he gets a mysterious threat telling him to “pull out of this case.”|21.0|3.0||||2013-12-15||2013-01-01|||
170||Claire Scanlon||||||||||||
171|Episode 3||Sara's father has died, penniless, and Miss Minchin tells Sara she is no longer a pupil but must work in the kitchen.|3.0|1.0||||1973-03-04||1973-01-01|||
172|Claes Malmberg g?star|||1.0|2.0||||2018-03-09||2018-01-01|||
173||Mark Stetson||||||||||||
174||Daniela Escobar||||||||||||
175||Larry David||||||||||||
176|Date With a Serial Killer: Rodney Cameron||'Rodney Francis Cameron was dubbed ‘The Lonely Hearts Killer’ after he used a radio match-making program in 1990 to lure an unsuspecting woman to her death. Incredibly, he had only just been released from prison for two other killings in 1974. Cameron’s psychopathic tendencies appeared early in his life. At the age of ten he tried to strangle a young girl. He then attempted to strangle two other women, and moved into a life of alcohol and drug abuse, including experimenting with hallucinogenic chemicals. He also dabbled in Satanism. At the age of 19, while working at a nursing home in the Blue Mountains, west of Sydney, he raped and strangled nurse Florence Jackson.  The victim was left with a towel stuffed down her throat in what was to become his signature “mark of death”.  A week later, heading south to Melbourne, he hitched a lift with a 19-year-old bank clerk, Francesco Ciliberto, whom he strangled with a football sock.  A short time later, he was caught in Queensland after abducting a mother and daughter. He told arresting police he “had to kill three.” He was sentenced to prison for life and served 16 years. While incarcerated he married a lifelong friend named Anne. Soon after his release in 1990, he rang a late-night match-maker talkback program on radio 3AW Melbourne.  He described himself as a non-smoker and non-drinker, Gemini marine biologist who was searching for a partner “willing to share his happiness”. Forty-four-year-old Maria Goellner was one of six women who responded to his call. A few weeks later Maria was found lying dead on a motel room floor in the Blue Mountains, the same area where Cameron had committed this first murder 16 years earlier.   She had a handkerchief stuffed down her throat. The killer was jailed again for life, this time his file was marked “never to be released.” While in jail he allegedly made admissions to an informant indicating he had killed five additional victims, including two other women after his release from prison in 1990.   Police believe he was almost certainly responsible for the 1974 murder of elderly Sydney woman Sarah McKenzie, but there was not enough information to take that case to trial or to identify any of the other alleged victims.|6.0|3.0||||2009-07-30||2009-01-01|||
177||America Ferrera||||||||||||
178||Sal Kroonenberg||||||||||||
179|Glass Maker||Mike goes to Jonesboro, Arkansas to perform dung beetle research. Then he heads to Williamstown, West Virginia to try his hand at making glass art.|16.0|5.0||||2009-11-10||2009-01-01|||
180|PMTA||Marcel Ben David is a former police officer that joins PMTA (initials in Hebrew for: Tel Aviv District Attorney), and herself in the middle of an entangled corruption story. A suspenseful legal drama with Chen Amsalem, Shlomo Bar-Aba and Oshri Cohen.|||1.0|13.0||2018-12-16|2019-03-10|2018-01-01|35|Drama|IL
181|The Paparazzo Affair||Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News. Fortunately, Ace was there to save him. However when they go back to the Magic Express, they been rocked by grenades. What's worse is the Magic Express is in fire. The Express goes away, until comes to a cliff, the Express falls into the ocean. Luckily, the Express can still operate underwater. Yet, Duc complains to Ace about him being crazy, but Ace confronts Duc. Duc shows Ace a CD video about a new director in the St. Paul Hospital name John Wosh. However, John Wosh isn't really who he is, his real name is Paul Kelly and was arrested for illegal chemical experiments. Duc gets to the hospital headfirst, only to be taken away. Ace and Cosmo arrive there, they learn that the secret of the hospital is to treat people with a new virus then give a medication for a high price. Ace saves Duc who was about to be thrown in boiling liquid. They find Wosh an|1.0|2.0|||||||||
182||Nicholas Day||||||||||||
183|T-H-A-THANKSGIVING||The DiMeo plan to avoid another horrible Thanksgiving with Jimmy’s brother’s family backfires when they invite themselves over to celebrate. While Kenneth and Ray destroy the turkey, the rest of the family creates a game, checking off the various instances of annoyance their relatives are known for. When Jimmy and his brother Billy decide to take their competition to the streets, the family discovers that Billy’s family is not as perfect as it seems.|7.0|1.0||||2016-11-16||2016-01-01|||
184||Chad Fiveash||||||||||||
185|Slight Delay|||19.0|7.0||||1960-02-14||1960-01-01|||
186||David H. Brooks||||||||||||
187||Ren Messer||||||||||||
188|The Doll||At the screening of a miniseries, the young daughter of a TV executive asks Larry to cut the hair off a beloved doll. When he complies, she becomes very upset. To remedy the situation, Larry and Jeff steal the head from Jeff's daughter's doll.|7.0|2.0||||2001-11-04||2001-01-01|||
189|Fight Night||'An old political fight between two small-county commissioners causes the delay of Stoney and the rodeo from getting to the next venue, resulting in the death of one of the cowboys. The Police Commissioner wants his charity boxing match to run on the same night as the Health Commissioner's charity rodeo.Thugs in the employ of one of the boxers pays Ves Painter to help disrupt the rodeo.|2.0|1.0||||1962-10-08||1962-01-01|||
190|The Larcenous Lover|||10.0|1.0||||1962-04-24||1962-01-01|||
191|Episode 6||It's Freddie and Stuart's anniversary party and they're expecting a long awaited guest.|6.0|1.0||||2013-06-10||2013-01-01|||
192|Sylvia Pankhurst||'Tracing her life from schooldays in radical Manchester to retirementin rural Essex, when Haile Selassie occasionally came to call,Sylvia Pankhurst the revolutionary and Rastafarian sympathiser isbrought to life as only Mark Steel can. From a bed-in with KeirHardie to Kill Bill style ju-jitsu, here’s everything you didn’tknow about this pioneer of democracy.Recalling a time when Manchester was the most radical city inBritain, this latest instalment in Mark Steel’s comedy lectureseries resonates with today’s human rights campaigners and anti-warradicals, as well as containing a short section revealing the besttype of stone to smash windows with.|5.0|2.0||||2004-12-03||2004-01-01|||
193||Philippe Dean||||||||||||
194|Episode 33|||33.0|1.0||||2003-03-05||2003-01-01|||
195||Ryoko Shiraishi||||||||||||
196||Filmpark Production||||||||||||SK
197||?ngelo Ant?nio||||||||||||
198||Samuel Barnett||||||||||||
199|Dirty Holidays|||20.0|6.0||||2010-12-14||2010-01-01|||
200||Suzuki Matsuo||||||||||||
201||Omar Williams||||||||||||
202|Identity Crisis||Falsone and Lewis investigate the murder of a man in his own backyard. The victim's nose was removed from his body. Ballard and Gharty investigate the murder of a bartender at a strip club. Canvassing the neighbors, Falsone feels that one of the neighbors isn't what she appears to be. Later when they interview her husband, he gets the same feeling. The MEs complete a record setting day of completing autopsies, but find themselves with one unidentified extra body. Munch and Bayliss get the call, but insist that until they can get a crime scene to go to, the problem isn't theirs. Griscom finds the crime scene in the morgue freezer. Ballard mentions to Gharty that he might want to consider stopping his drinking. Falsone's theory about the victim's neighbors proves true when MGee checks into the Witness Protection program. MGee's phone call puts the wheels in motion to get the family moved. Falsone and Lewis arrive just in time to take their suspect into custody and away from the Feds. The|19.0|7.0||||1999-04-30||1999-01-01|||
203|The Road|||1.0|7.0||||1959-09-20||1959-01-01|||
204||Fritz Muliar||||||||||||
205||Silver & Gold Productions||||||||||||US
206||Elia P. Popov||||||||||||
207||Ryan Haywood||||||||||||
208|Episode 6|||6.0|1.0||||2016-12-10||2016-01-01|||
209||Heinz Eickmeyer||||||||||||
210||Sonita Henry||||||||||||
211||F?bio Dias||||||||||||
212||ARTE||||||||||||FR
213||Hank Green||||||||||||
214||Kenneth Lin||||||||||||
215|The Derelict||The derelict in an attempt to abduct an oriental crown prince, Communist agents endager Adam's life and almost destroy his ship.|5.0|1.0||||1959-11-09||1959-01-01|||
216|Ice Storm||It's Christmas in Greensburg and an ice storm has swept over the town, stopping rebuilding and giving the residents one more problem to overcome. Communication is as frozen as the trees on Main Street and people don?t feel connected to what's happening. With no tax base, businesses are clamoring for spaces in the downtown incubator. Something has to be done, so the first town hall meeting since the tornado is called. All that Greensburg wants for Christmas is their town back.|4.0|1.0||||2008-07-06||2008-01-01|||
217||Kate Tsui||||||||||||
218||Ray Nicholas||||||||||||
219||Michael Jackson||||||||||||
220||Josef Somr||||||||||||
221|Episode 13|||13.0|2.0||||2015-07-01||2015-01-01|||
222||Tanya Ballantyne||||||||||||
223|The Norfolk Island Murder||'Hosted by Steve Liebmann, this episode of Crime Investigation Australia features detailed re-enactments and interviews with key figures, including the head of the police investigation, local Norfolk Island residents as well as intimate interviews with Janelle Patton’s mother and father. 29-year-old Patton had been stabbed to death in a frenzied attack that had left more than 60 wounds from her head to her feet. She had multiple bruises and broken bones and it was clear she had bravely fought back against a sustained attack. What followed were years of difficult investigations plagued by numerous false leads based mainly on gossip and innuendo.By the time the coroner’s inquiry opened two years later no less than 16 persons of interest had been investigated by the man in charge of the case, Detective Sergeant Bob Peters. The naming of the 16 caused a furore of resentment and distress among the islanders. Eventually a 28-year-old chef named Glenn McNeill who had left the island a few months after the murder to return to his native New Zealand was arrested. But forensic investigators said Janelle’s injuries did not match McNeill’s story. He was later convicted and sentenced to 24 years in prison. The crime was also touted as the subject of a potential telemovie.|3.0|3.0||||2009-04-30||2009-01-01|||
224|Follow the Leader||The Kazoops struggle to work as a team when building their new table tennis table.|47.0|1.0||||2017-07-04||2017-01-01|||
225||Pierre Cendors||||||||||||
226|Tofu Maker||Mike recycles computers before heading to Hawaii to make tofu.|15.0|5.0||||2009-11-03||2009-01-01|||
227|Power Play|||9.0|5.0||||1957-12-29||1957-01-01|||
